"date","new_cases","reproduction_rate","hosp_patients_per_million","new_tests","positive_rate","stringency_index","average_adjusted_price","Shifted","two_week_return"
2020-04-14,64,0.41,8.298,4357,0.011,73.15,3.8230307,3.7187128,0.0280521528847293
2020-04-15,25,0.4,7.794,4781,0.008,69.44,3.8223593,3.7187128,0.0278716065408439
2020-04-16,22,0.4,7.445,8626,0.004,69.44,3.8259221,3.6948704,0.0354685512108894
2020-04-17,60,0.4,7.135,11527,0.004,69.44,3.8686653,3.6517227,0.0594082896820177
2020-04-18,46,0.39,6.864,14980,0.003,69.44,3.8686653,3.6493196,0.0601059167303406
2020-04-19,42,0.38,6.592,14589,0.003,69.44,3.8686653,3.7663841,0.0271563380909557
2020-04-20,13,0.36,6.476,10635,0.001,69.44,3.8118242,3.7663841,0.0120646484249972
2020-04-21,22,0.36,6.243,8373,0.003,69.44,3.7525577,3.7663841,-0.00367100105376935
2020-04-22,7,0.35,5.894,12430,0.001,69.44,3.7519251,3.7663841,-0.00383896055635961
2020-04-23,10,0.36,5.351,14128,0.001,69.44,3.7068261,3.7663841,-0.0158130446653066
2020-04-24,15,0.37,5.002,15705,0.001,69.44,3.6968582,3.8230307,-0.0330032662306373
2020-04-25,17,0.39,4.459,11887,0.002,69.44,3.6968582,3.8223593,-0.0328334125993859
2020-04-26,20,0.43,4.382,12193,0.001,69.44,3.6968582,3.8259221,-0.0337340637437441
2020-04-27,7,0.46,4.227,10613,0.001,69.44,3.7585881,3.8686653,-0.0284535340909435
2020-04-28,23,0.51,3.606,13616,0.001,69.44,3.7619244,3.8686653,-0.0275911436432612
2020-04-29,8,0.55,3.451,13731,0.001,69.44,3.7368621,3.8686653,-0.0340694244084645
2020-04-30,14,0.59,3.219,19231,0.001,69.44,3.8655281,3.8118242,0.0140887662133003
2020-05-01,12,0.64,3.063,25227,0,69.44,3.7791099,3.7525577,0.0070757606205495
2020-05-02,21,0.7,2.908,22715,0.001,69.44,3.7791099,3.7519251,0.00724556041910316
2020-05-03,23,0.77,2.714,21524,0.001,69.44,3.7791099,3.7068261,0.0195001864263339
2020-05-04,25,0.81,2.559,17107,0.002,69.44,3.7441397,3.6968582,0.0127896439198018
2020-05-05,28,0.83,2.404,14542,0.002,69.44,3.800361,3.6968582,0.0279975033935572
2020-05-06,19,0.81,2.249,23900,0.001,69.44,3.7536907,3.6968582,0.0153731890500965
2020-05-07,19,0.77,2.172,33893,0.001,69.44,3.8201996,3.7585881,0.0163921925895525
2020-05-08,5,0.75,1.978,34701,0.001,69.44,3.9079966,3.7619244,0.0388291162895246
2020-05-09,21,0.76,1.667,38206,0,69.44,3.9079966,3.7368621,0.0457963112955117
2020-05-10,9,0.77,1.9,32416,0,69.44,3.9079966,3.8655281,0.010986467799833
2020-05-11,22,0.79,1.823,27247,0,69.44,3.8948004,3.7791099,0.0306131610514952
2020-05-12,10,0.8,1.939,22808,0.001,69.44,3.9568052,3.7791099,0.0470204108115511
2020-05-13,9,0.82,1.978,31098,0,69.44,3.994848,3.7791099,0.0570870140611682
2020-05-14,30,0.85,1.784,34274,0,69.44,3.9484989,3.7441397,0.054581083072301
2020-05-15,16,0.81,1.9,40517,0.001,65.74,3.9164236,3.800361,0.0305398881843066
2020-05-16,9,0.76,1.939,31836,0.001,64.35,3.9164236,3.7536907,0.0433527727790678
2020-05-17,10,0.75,1.745,26474,0,64.35,3.9164236,3.8201996,0.0251882126787302
2020-05-18,14,0.74,1.823,20742,0,67.13,3.9341449,3.9079966,0.00669097306788866
