"date","new_cases","reproduction_rate","hosp_patients_per_million","new_tests","positive_rate","stringency_index","average_adjusted_price","Shifted","two_week_return"
2020-04-14,64,0.41,8.298,4357,0.011,73.15,7.66452082352941,7.29744429411765,0.0503020666711577
2020-04-15,25,0.4,7.794,4781,0.008,69.44,7.63953535294118,7.29744429411765,0.0468782007831541
2020-04-16,22,0.4,7.445,8626,0.004,69.44,7.47476517647059,7.58318511764706,-0.0142974145420983
2020-04-17,60,0.4,7.135,11527,0.004,69.44,7.47658447058823,7.53489364705882,-0.00773855334950205
2020-04-18,46,0.39,6.864,14980,0.003,69.44,7.47658447058823,7.26921764705882,0.0285267044677515
2020-04-19,42,0.38,6.592,14589,0.003,69.44,7.47658447058823,7.52687141176471,-0.0066809884778782
2020-04-20,13,0.36,6.476,10635,0.001,69.44,7.34810947058824,7.52687141176471,-0.0237498332835952
2020-04-21,22,0.36,6.243,8373,0.003,69.44,7.16923023529412,7.52687141176471,-0.0475152499498777
2020-04-22,7,0.35,5.894,12430,0.001,69.44,7.23031576470588,7.52687141176471,-0.0393995899272702
2020-04-23,10,0.36,5.351,14128,0.001,69.44,7.21154088235294,7.52687141176471,-0.0418939705704145
2020-04-24,15,0.37,5.002,15705,0.001,69.44,7.22725817647059,7.66452082352941,-0.0570502262472124
2020-04-25,17,0.39,4.459,11887,0.002,69.44,7.22725817647059,7.63953535294118,-0.0539662633162452
2020-04-26,20,0.43,4.382,12193,0.001,69.44,7.22725817647059,7.47476517647059,-0.0331123445562027
2020-04-27,7,0.46,4.227,10613,0.001,69.44,7.15245129411765,7.47658447058823,-0.0433531083271619
2020-04-28,23,0.51,3.606,13616,0.001,69.44,7.13785017647059,7.47658447058823,-0.0453060211451066
2020-04-29,8,0.55,3.451,13731,0.001,69.44,7.457622,7.47658447058823,-0.00253624775628908
2020-04-30,14,0.59,3.219,19231,0.001,69.44,7.71105223529412,7.34810947058824,0.0493926725178236
2020-05-01,12,0.64,3.063,25227,0,69.44,7.28397505882353,7.16923023529412,0.0160051804396688
2020-05-02,21,0.7,2.908,22715,0.001,69.44,7.28397505882353,7.23031576470588,0.00742143163090874
2020-05-03,23,0.77,2.714,21524,0.001,69.44,7.28397505882353,7.21154088235294,0.0100442024322206
2020-05-04,25,0.81,2.559,17107,0.002,69.44,7.37483947058824,7.22725817647059,0.0204200943862944
2020-05-05,28,0.83,2.404,14542,0.002,69.44,7.508414,7.22725817647059,0.0389021419554038
2020-05-06,19,0.81,2.249,23900,0.001,69.44,7.42464358823529,7.22725817647059,0.0273112440354384
2020-05-07,19,0.77,2.172,33893,0.001,69.44,7.293174,7.15245129411765,0.0196747520669015
2020-05-08,5,0.75,1.978,34701,0.001,69.44,7.30363611764706,7.13785017647059,0.0232263128361774
2020-05-09,21,0.76,1.667,38206,0,69.44,7.30363611764706,7.457622,-0.0206481211239912
2020-05-10,9,0.77,1.9,32416,0,69.44,7.30363611764706,7.71105223529412,-0.052835346618751
2020-05-11,22,0.79,1.823,27247,0,69.44,7.36456435294118,7.28397505882353,0.0110639168128431
2020-05-12,10,0.8,1.939,22808,0.001,69.44,7.25688605882353,7.28397505882353,-0.00371898582590361
2020-05-13,9,0.82,1.978,31098,0,69.44,7.29785258823529,7.28397505882353,0.00190521374657294
2020-05-14,30,0.85,1.784,34274,0,69.44,7.10670511764706,7.37483947058824,-0.0363579917922999
2020-05-15,16,0.81,1.9,40517,0.001,65.74,7.22968558823529,7.508414,-0.0371221421414304
2020-05-16,9,0.76,1.939,31836,0.001,64.35,7.22968558823529,7.42464358823529,-0.0262582301336215
2020-05-17,10,0.75,1.745,26474,0,64.35,7.22968558823529,7.293174,-0.0087051826495167
2020-05-18,14,0.74,1.823,20742,0,67.13,7.12100464705882,7.30363611764706,-0.025005554445266
2020-05-19,4,0.72,1.667,24287,0,67.13,7.24023441176471,7.30363611764706,-0.00868084127701284
2020-05-20,9,0.74,1.59,25884,0,67.13,7.28557876470588,7.30363611764706,-0.00247237850439254
2020-05-21,14,0.76,1.512,25821,0,67.13,7.20359070588235,7.36456435294118,-0.0218578641375489
2020-05-22,4,0.77,1.357,32855,0,67.13,7.15348982352941,7.25688605882353,-0.0142480169119369
2020-05-23,15,0.8,1.28,21679,0.001,67.13,7.15348982352941,7.29785258823529,-0.0197815402490598
2020-05-24,0,0.82,1.202,32273,0,67.13,7.15348982352941,7.10670511764706,0.00658317815469499
2020-05-25,12,0.89,1.163,19304,0,65.28,7.24250005882353,7.22968558823529,0.00177247965099442
2020-05-26,13,0.96,1.163,44465,0.001,65.28,7.57685082352941,7.22968558823529,0.0480194098425319
