"date","new_cases","reproduction_rate","hosp_patients_per_million","new_tests","positive_rate","stringency_index","average_adjusted_price","Shifted","two_week_return"
2020-04-14,64,0.41,8.298,4357,0.011,73.15,1.42679550746269,1.28186907462687,0.113058685714847
2020-04-15,25,0.4,7.794,4781,0.008,69.44,1.43594689552239,1.28186907462687,0.12019778302271
2020-04-16,22,0.4,7.445,8626,0.004,69.44,1.39885525373134,1.33381350746269,0.0487637483836743
2020-04-17,60,0.4,7.135,11527,0.004,69.44,1.43465982089552,1.33465735820896,0.0749274426664576
2020-04-18,46,0.39,6.864,14980,0.003,69.44,1.43465982089552,1.35723717910448,0.0570442977712481
2020-04-19,42,0.38,6.592,14589,0.003,69.44,1.43465982089552,1.40691132835821,0.0197229860745343
2020-04-20,13,0.36,6.476,10635,0.001,69.44,1.39237113235294,1.40691132835821,-0.0103348346922726
2020-04-21,22,0.36,6.243,8373,0.003,69.44,1.35260238235294,1.40691132835821,-0.03860154148353
2020-04-22,7,0.35,5.894,12430,0.001,69.44,1.33057452941176,1.40691132835821,-0.0542584293748811
2020-04-23,10,0.36,5.351,14128,0.001,69.44,1.33899473529412,1.40691132835821,-0.0482735419746363
2020-04-24,15,0.37,5.002,15705,0.001,69.44,1.34749210294118,1.42679550746269,-0.0555814789903129
2020-04-25,17,0.39,4.459,11887,0.002,69.44,1.34749210294118,1.43594689552239,-0.0616003230043074
2020-04-26,20,0.43,4.382,12193,0.001,69.44,1.34749210294118,1.39885525373134,-0.0367179882644465
2020-04-27,7,0.46,4.227,10613,0.001,69.44,1.38233083823529,1.43465982089552,-0.0364748366811891
2020-04-28,23,0.51,3.606,13616,0.001,69.44,1.38738635294118,1.43465982089552,-0.0329509945603952
2020-04-29,8,0.55,3.451,13731,0.001,69.44,1.39844585294118,1.43465982089552,-0.0252421984828019
2020-04-30,14,0.59,3.219,19231,0.001,69.44,1.46602033823529,1.39237113235294,0.0528948095597864
2020-05-01,12,0.64,3.063,25227,0,69.44,1.38852630882353,1.35260238235294,0.0265591181409101
2020-05-02,21,0.7,2.908,22715,0.001,69.44,1.38852630882353,1.33057452941176,0.0435539521693569
2020-05-03,23,0.77,2.714,21524,0.001,69.44,1.38852630882353,1.33899473529412,0.0369916118591249
2020-05-04,25,0.81,2.559,17107,0.002,69.44,1.35708148529412,1.34749210294118,0.00711646645795576
2020-05-05,28,0.83,2.404,14542,0.002,69.44,1.37495161764706,1.34749210294118,0.0203782379473293
2020-05-06,19,0.81,2.249,23900,0.001,69.44,1.39262935294118,1.34749210294118,0.0334972278512644
2020-05-07,19,0.77,2.172,33893,0.001,69.44,1.39314998529412,1.38233083823529,0.007826742165888
2020-05-08,5,0.75,1.978,34701,0.001,69.44,1.41795164705882,1.38738635294118,0.0220308453033652
2020-05-09,21,0.76,1.667,38206,0,69.44,1.41795164705882,1.39844585294118,0.0139481940445695
2020-05-10,9,0.77,1.9,32416,0,69.44,1.41795164705882,1.46602033823529,-0.0327885568315735
2020-05-11,22,0.79,1.823,27247,0,69.44,1.44497248529412,1.38852630882353,0.0406518595376231
2020-05-12,10,0.8,1.939,22808,0.001,69.44,1.42333022058824,1.38852630882353,0.0250653599744859
2020-05-13,9,0.82,1.978,31098,0,69.44,1.41084070588235,1.38852630882353,0.0160705612252533
2020-05-14,30,0.85,1.784,34274,0,69.44,1.38981942647059,1.35708148529412,0.0241237844088452
2020-05-15,16,0.81,1.9,40517,0.001,65.74,1.40118539705882,1.37495161764706,0.0190797836629759
2020-05-16,9,0.76,1.939,31836,0.001,64.35,1.40118539705882,1.39262935294118,0.00614380567203835
2020-05-17,10,0.75,1.745,26474,0,64.35,1.40118539705882,1.39314998529412,0.0057678009184413
2020-05-18,14,0.74,1.823,20742,0,67.13,1.41487307352941,1.41795164705882,-0.0021711414037267
2020-05-19,4,0.72,1.667,24287,0,67.13,1.44762923529412,1.41795164705882,0.0209299014510491
2020-05-20,9,0.74,1.59,25884,0,67.13,1.43915504411765,1.41795164705882,0.0149535402725505
2020-05-21,14,0.76,1.512,25821,0,67.13,1.45350875,1.44497248529412,0.00590756211122227
2020-05-22,4,0.77,1.357,32855,0,67.13,1.43023602941176,1.42333022058824,0.00485186692704058
2020-05-23,15,0.8,1.28,21679,0.001,67.13,1.43023602941176,1.41084070588235,0.0137473518084253
2020-05-24,0,0.82,1.202,32273,0,67.13,1.43023602941176,1.38981942647059,0.0290804705786947
2020-05-25,12,0.89,1.163,19304,0,65.28,1.44510138235294,1.40118539705882,0.0313420232513843
2020-05-26,13,0.96,1.163,44465,0.001,65.28,1.48222529411765,1.40118539705882,0.0578366697432983
2020-05-27,11,0.99,1.125,49388,0,65.28,1.50283480882353,1.40118539705882,0.0725452977015565
2020-05-28,15,1.02,0.892,30265,0.001,65.28,1.50750495588235,1.41487307352941,0.0654701005241907
2020-05-29,19,1.03,0.853,30348,0.001,63.43,1.50406873529412,1.44762923529412,0.0389875381236916
2020-05-30,8,0.97,0.776,33326,0,63.43,1.50406873529412,1.43915504411765,0.0451054189343924
2020-05-31,10,0.97,0.776,25829,0,63.43,1.50406873529412,1.45350875,0.0347847821997065
2020-06-01,19,0.96,1.008,17824,0,62.04,1.53328761764706,1.43023602941176,0.0720521551101449
2020-06-02,8,0.9,0.969,18276,0.001,62.04,1.54935219117647,1.43023602941176,0.0832842686907395
2020-06-03,11,0.86,0.853,22461,0,62.04,1.57144842647059,1.43023602941176,0.0987336314810235
2020-06-04,7,0.82,0.814,33419,0,62.04,1.57309842647059,1.44510138235294,0.0885730549293641
2020-06-05,5,0.79,0.814,31817,0,62.04,1.57719258823529,1.48222529411765,0.0640707552991667
2020-06-06,7,0.77,0.698,11585,0,62.04,1.57719258823529,1.50283480882353,0.0494783451748596
2020-06-07,6,0.82,0.737,26887,0,62.04,1.57719258823529,1.50750495588235,0.0462271331719454
2020-06-08,2,0.86,0.698,16225,0,62.04,1.57719258823529,1.50406873529412,0.0486173611785617
2020-06-09,7,0.96,0.776,17170,0,60.19,1.59016870588235,1.50406873529412,0.0572447046919027
2020-06-10,11,1.06,0.698,29455,0,60.19,1.60642002941176,1.50406873529412,0.0680496121725664
2020-06-11,4,1.15,0.659,31472,0,60.19,1.55650752941176,1.53328761764706,0.0151438722242722
2020-06-12,5,1.28,0.62,34215,0,50.46,1.51887417647059,1.54935219117647,-0.019671456805918
2020-06-13,26,1.43,0.62,37226,0,50.46,1.51887417647059,1.57144842647059,-0.03345591819267
2020-06-14,15,1.48,0.659,29800,0.001,50.46,1.51887417647059,1.57309842647059,-0.034469712185561
2020-06-15,12,1.51,0.659,15970,0.001,50.46,1.51136214705882,1.57719258823529,-0.0417389998326887
2020-06-16,23,1.55,0.62,18448,0.001,50.46,1.53464570588235,1.57719258823529,-0.0269763392690975
2020-06-17,21,1.54,0.543,35160,0.001,50.46,1.54116445588235,1.57719258823529,-0.0228432041981967
2020-06-18,18,1.54,0.582,41495,0.001,50.46,1.53933070588235,1.57719258823529,-0.0240058713408643
2020-06-19,2,1.55,0.659,42708,0,50.46,1.54353198529412,1.59016870588235,-0.0293281589655969
2020-06-20,50,1.63,0.62,35173,0.001,50.46,1.54353198529412,1.60642002941176,-0.0391479457216898
2020-06-21,13,1.6,0.698,35946,0.001,50.46,1.54353198529412,1.55650752941176,-0.00833631953104065
2020-06-22,18,1.63,0.737,66525,0.001,50.46,1.52580341176471,1.51887417647059,0.00456208644630406
2020-06-23,29,1.68,0.62,24972,0.001,52.31,1.52300239705882,1.51887417647059,0.00271794770902493
2020-06-24,37,1.74,0.62,47603,0.001,52.31,1.52218697058824,1.51887417647059,0.00218108528604055
2020-06-25,37,1.79,0.465,51917,0.001,52.31,1.48160454411765,1.51136214705882,-0.0196892604456754
2020-06-26,6,1.85,0.465,49498,0.001,52.31,1.48813402941176,1.53464570588235,-0.0303077617800038
2020-06-27,85,1.99,0.427,54222,0.001,52.31,1.48813402941176,1.54116445588235,-0.0344093235917689
2020-06-28,78,2.05,0.582,43114,0.001,52.31,1.48813402941176,1.53933070588235,-0.0332590497122852
2020-06-29,70,2.03,0.543,36520,0.002,52.31,1.45137633823529,1.54353198529412,-0.0597043974059684
2020-06-30,86,2.01,0.698,40287,0.002,52.31,1.47586413235294,1.54353198529412,-0.0438396182171
2020-07-01,81,1.98,0.931,49941,0.002,68.98,1.48930911764706,1.54353198529412,-0.0351290858651865
2020-07-02,65,1.99,1.047,57859,0.001,68.98,1.49654963235294,1.52580341176471,-0.0191727054653328
2020-07-03,194,2.06,1.125,54078,0.001,68.98,1.50149905882353,1.52300239705882,-0.0141190442489261
2020-07-04,183,1.97,1.163,50176,0.002,68.98,1.50149905882353,1.52218697058824,-0.0135909137079993
2020-07-05,140,1.89,1.318,45399,0.002,68.98,1.50149905882353,1.48160454411765,0.013427682025456
2020-07-06,172,1.83,1.512,43865,0.003,68.98,1.52108411764706,1.48813402941176,0.0221418821047449
2020-07-07,131,1.76,1.784,43807,0.005,68.98,1.49971485294118,1.48813402941176,0.00778211054953794
2020-07-08,170,1.73,1.745,55299,0.003,75.46,1.48091797058824,1.48813402941176,-0.00484906512512294
2020-07-09,318,1.72,2.094,54425,0.003,75.46,1.48805217647059,1.45137633823529,0.0252696955772943
2020-07-10,179,1.64,2.133,59437,0.005,75.46,1.47634852941176,1.47586413235294,0.000328212501547322
2020-07-11,244,1.57,2.598,53397,0.004,75.46,1.47634852941176,1.48930911764706,-0.00870241649750348
2020-07-12,183,1.54,3.568,51823,0.005,75.46,1.47634852941176,1.49654963235294,-0.0134984517081572
2020-07-13,271,1.53,3.49,42300,0.005,71.76,1.47603201470588,1.50149905882353,-0.0169610789750354
2020-07-14,236,1.51,4.304,44449,0.007,71.76,1.46177108823529,1.50149905882353,-0.0264588714556794
2020-07-15,323,1.5,4.421,59904,0.004,71.76,1.48559210294118,1.50149905882353,-0.0105940498522967
2020-07-16,423,1.48,4.886,65575,0.005,68.06,1.48278032352941,1.52108411764706,-0.0251819039284288
2020-07-17,208,1.42,4.459,62748,0.007,68.06,1.48147266176471,1.49971485294118,-0.0121637730937283
2020-07-18,361,1.39,5.235,66094,0.004,68.06,1.48147266176471,1.48091797058824,0.000374559015075033
