"date","new_cases","reproduction_rate","hosp_patients_per_million","new_tests","positive_rate","stringency_index","average_adjusted_price","Shifted","two_week_return"
2020-04-14,64,0.41,8.298,4357,0.011,73.15,1.21351919565217,1.13242454347826,0.071611528239073
2020-04-15,25,0.4,7.794,4781,0.008,69.44,1.21368782608696,1.13242454347826,0.0717604392069198
2020-04-16,22,0.4,7.445,8626,0.004,69.44,1.20932560869565,1.1686615,0.0347954550531972
2020-04-17,60,0.4,7.135,11527,0.004,69.44,1.23458197826087,1.17910736956522,0.0470479704626965
2020-04-18,46,0.39,6.864,14980,0.003,69.44,1.23458197826087,1.16356008695652,0.0610384389259321
2020-04-19,42,0.38,6.592,14589,0.003,69.44,1.23458197826087,1.1999722826087,0.0288420792328084
2020-04-20,13,0.36,6.476,10635,0.001,69.44,1.19258539130435,1.1999722826087,-0.00615588494118293
2020-04-21,22,0.36,6.243,8373,0.003,69.44,1.15311769565217,1.1999722826087,-0.0390463910171839
2020-04-22,7,0.35,5.894,12430,0.001,69.44,1.16376810869565,1.1999722826087,-0.0301708418083932
2020-04-23,10,0.36,5.351,14128,0.001,69.44,1.16541265217391,1.1999722826087,-0.0288003572546286
2020-04-24,15,0.37,5.002,15705,0.001,69.44,1.17109469565217,1.21351919565217,-0.0349598919835792
2020-04-25,17,0.39,4.459,11887,0.002,69.44,1.17109469565217,1.21368782608696,-0.0350939751716114
2020-04-26,20,0.43,4.382,12193,0.001,69.44,1.17109469565217,1.20932560869565,-0.0316134155835111
2020-04-27,7,0.46,4.227,10613,0.001,69.44,1.20438945652174,1.23458197826087,-0.024455663755648
2020-04-28,23,0.51,3.606,13616,0.001,69.44,1.20201706521739,1.23458197826087,-0.0263772788011629
2020-04-29,8,0.55,3.451,13731,0.001,69.44,1.21888347826087,1.23458197826087,-0.012715640011297
2020-04-30,14,0.59,3.219,19231,0.001,69.44,1.24718269565217,1.19258539130435,0.0457806248055011
2020-05-01,12,0.64,3.063,25227,0,69.44,1.20998226086957,1.15311769565217,0.0493137564637149
2020-05-02,21,0.7,2.908,22715,0.001,69.44,1.20998226086957,1.16376810869565,0.0397107910318231
2020-05-03,23,0.77,2.714,21524,0.001,69.44,1.20998226086957,1.16541265217391,0.0382436286516316
2020-05-04,25,0.81,2.559,17107,0.002,69.44,1.20033980434783,1.17109469565217,0.0249724542380971
