"date","new_cases","reproduction_rate","hosp_patients_per_million","new_tests","positive_rate","stringency_index","average_adjusted_price","Shifted","two_week_return"
2020-04-14,64,0.41,8.298,4357,0.011,73.15,2.70797592857143,2.40181492857143,0.127470687419743
2020-04-15,25,0.4,7.794,4781,0.008,69.44,2.97046928571429,2.40181492857143,0.236760272566499
2020-04-16,22,0.4,7.445,8626,0.004,69.44,2.871255,2.455072,0.169519671928155
2020-04-17,60,0.4,7.135,11527,0.004,69.44,2.92778607142857,2.45828128571429,0.190989041182024
2020-04-18,46,0.39,6.864,14980,0.003,69.44,2.92778607142857,2.44911307142857,0.195447488964154
2020-04-19,42,0.38,6.592,14589,0.003,69.44,2.92778607142857,2.68534242857143,0.0902840696507075
2020-04-20,13,0.36,6.476,10635,0.001,69.44,2.884335,2.68534242857143,0.0741032388686583
2020-04-21,22,0.36,6.243,8373,0.003,69.44,2.75219864285714,2.68534242857143,0.0248967184126612
2020-04-22,7,0.35,5.894,12430,0.001,69.44,2.78214392857143,2.68534242857143,0.0360481028304079
2020-04-23,10,0.36,5.351,14128,0.001,69.44,2.72719642857143,2.68534242857143,0.0155860941810189
2020-04-24,15,0.37,5.002,15705,0.001,69.44,2.69076764285714,2.70797592857143,-0.00635466716403355
2020-04-25,17,0.39,4.459,11887,0.002,69.44,2.69076764285714,2.97046928571429,-0.0941607591104532
2020-04-26,20,0.43,4.382,12193,0.001,69.44,2.69076764285714,2.871255,-0.0628600932842459
2020-04-27,7,0.46,4.227,10613,0.001,69.44,2.80820992857143,2.92778607142857,-0.0408418306323855
2020-04-28,23,0.51,3.606,13616,0.001,69.44,2.840273,2.92778607142857,-0.0298905279598759
2020-04-29,8,0.55,3.451,13731,0.001,69.44,2.79422642857143,2.92778607142857,-0.0456179651103996
2020-04-30,14,0.59,3.219,19231,0.001,69.44,2.79374335714286,2.884335,-0.0314081557298798
2020-05-01,12,0.64,3.063,25227,0,69.44,2.79180585714286,2.75219864285714,0.0143911175846656
2020-05-02,21,0.7,2.908,22715,0.001,69.44,2.79180585714286,2.78214392857143,0.00347283563305431
2020-05-03,23,0.77,2.714,21524,0.001,69.44,2.79180585714286,2.72719642857143,0.0236907865874819
