"date","new_cases","reproduction_rate","hosp_patients_per_million","new_tests","positive_rate","stringency_index","average_adjusted_price","Shifted","two_week_return"
2020-04-14,64,0.41,8.298,4357,0.011,73.15,4.69084173493976,4.15784687951807,0.128190111580892
2020-04-15,25,0.4,7.794,4781,0.008,69.44,4.68624003614458,4.15784687951807,0.12708336115729
2020-04-16,22,0.4,7.445,8626,0.004,69.44,4.61936063855422,4.43541418072289,0.0414722166490764
2020-04-17,60,0.4,7.135,11527,0.004,69.44,4.65651893975904,4.40804367469879,0.0563686032619039
2020-04-18,46,0.39,6.864,14980,0.003,69.44,4.65651893975904,4.43414713253012,0.0501498485689694
2020-04-19,42,0.38,6.592,14589,0.003,69.44,4.65651893975904,4.61434645783133,0.00913942685342518
2020-04-20,13,0.36,6.476,10635,0.001,69.44,4.61696213253012,4.61434645783133,0.000566857023567411
2020-04-21,22,0.36,6.243,8373,0.003,69.44,4.53088437349398,4.61434645783133,-0.0180875201071433
2020-04-22,7,0.35,5.894,12430,0.001,69.44,4.52684043373494,4.61434645783133,-0.01896390418363
2020-04-23,10,0.36,5.351,14128,0.001,69.44,4.50704771084337,4.61434645783133,-0.0232532923066164
2020-04-24,15,0.37,5.002,15705,0.001,69.44,4.47541651807229,4.69084173493976,-0.0459246397640905
2020-04-25,17,0.39,4.459,11887,0.002,69.44,4.47541651807229,4.68624003614458,-0.0449877762227767
2020-04-26,20,0.43,4.382,12193,0.001,69.44,4.47541651807229,4.61936063855422,-0.0311610484101497
2020-04-27,7,0.46,4.227,10613,0.001,69.44,4.59925404819277,4.65651893975904,-0.0122977898956487
2020-04-28,23,0.51,3.606,13616,0.001,69.44,4.60253686746988,4.65651893975904,-0.011592795602792
2020-04-29,8,0.55,3.451,13731,0.001,69.44,4.67027807228916,4.65651893975904,0.00295481081643201
2020-04-30,14,0.59,3.219,19231,0.001,69.44,4.79803707228916,4.61696213253012,0.0392194985709806
2020-05-01,12,0.64,3.063,25227,0,69.44,4.63027118072289,4.53088437349398,0.0219354101840109
2020-05-02,21,0.7,2.908,22715,0.001,69.44,4.63027118072289,4.52684043373494,0.0228483306407632
2020-05-03,23,0.77,2.714,21524,0.001,69.44,4.63027118072289,4.50704771084337,0.0273401742748492
2020-05-04,25,0.81,2.559,17107,0.002,69.44,4.67265497590361,4.47541651807229,0.0440715310038411
2020-05-05,28,0.83,2.404,14542,0.002,69.44,4.76704869879518,4.47541651807229,0.0651631372287349
2020-05-06,19,0.81,2.249,23900,0.001,69.44,4.77225513253012,4.47541651807229,0.0663264778281888
2020-05-07,19,0.77,2.172,33893,0.001,69.44,4.74948992771084,4.59925404819277,0.0326652709208587
2020-05-08,5,0.75,1.978,34701,0.001,69.44,4.92784072289157,4.60253686746988,0.0706792503327656
2020-05-09,21,0.76,1.667,38206,0,69.44,4.92784072289157,4.67027807228916,0.0551493180097013
2020-05-10,9,0.77,1.9,32416,0,69.44,4.92784072289157,4.79803707228916,0.0270534905518101
2020-05-11,22,0.79,1.823,27247,0,69.44,5.02610055421687,4.63027118072289,0.0854872982692513
2020-05-12,10,0.8,1.939,22808,0.001,69.44,4.95277180722892,4.63027118072289,0.0696504835070317
2020-05-13,9,0.82,1.978,31098,0,69.44,4.94899209638554,4.63027118072289,0.0688341790842779
