"date","new_cases","reproduction_rate","hosp_patients_per_million","new_tests","positive_rate","stringency_index","average_adjusted_price","Shifted","two_week_return"
2020-04-14,64,0.41,8.298,4357,0.011,73.15,0.791950491666667,0.729714575,0.0852880273998455
2020-04-15,25,0.4,7.794,4781,0.008,69.44,0.7787808,0.729714575,0.0672402973450269
2020-04-16,22,0.4,7.445,8626,0.004,69.44,0.7719692,0.77407335,-0.00271828244700579
2020-04-17,60,0.4,7.135,11527,0.004,69.44,0.778339891666667,0.770639908333333,0.0099916747758186
2020-04-18,46,0.39,6.864,14980,0.003,69.44,0.778339891666667,0.759864816666667,0.0243136339448449
2020-04-19,42,0.38,6.592,14589,0.003,69.44,0.778339891666667,0.782882241666667,-0.00580208587990179
2020-04-20,13,0.36,6.476,10635,0.001,69.44,0.741745675,0.782882241666667,-0.0525450246247655
2020-04-21,22,0.36,6.243,8373,0.003,69.44,0.732268791666667,0.782882241666667,-0.0646501444358346
2020-04-22,7,0.35,5.894,12430,0.001,69.44,0.729324908333333,0.782882241666667,-0.0684104587930311
2020-04-23,10,0.36,5.351,14128,0.001,69.44,0.737684491666667,0.782882241666667,-0.05773250125559
2020-04-24,15,0.37,5.002,15705,0.001,69.44,0.744277,0.791950491666667,-0.0601975655906689
2020-04-25,17,0.39,4.459,11887,0.002,69.44,0.744277,0.7787808,-0.0443048929814397
2020-04-26,20,0.43,4.382,12193,0.001,69.44,0.744277,0.7719692,-0.0358721565575415
2020-04-27,7,0.46,4.227,10613,0.001,69.44,0.748248883333333,0.778339891666667,-0.0386604986529717
2020-04-28,23,0.51,3.606,13616,0.001,69.44,0.740749675,0.778339891666667,-0.0482953746417575
2020-04-29,8,0.55,3.451,13731,0.001,69.44,0.768183075,0.778339891666667,-0.0130493332995149
2020-04-30,14,0.59,3.219,19231,0.001,69.44,0.82108775,0.741745675,0.10696668369519
2020-05-01,12,0.64,3.063,25227,0,69.44,0.776465441666667,0.732268791666667,0.0603557744136644
2020-05-02,21,0.7,2.908,22715,0.001,69.44,0.776465441666667,0.729324908333333,0.0646358471988291
2020-05-03,23,0.77,2.714,21524,0.001,69.44,0.776465441666667,0.737684491666667,0.0525711878697372
2020-05-04,25,0.81,2.559,17107,0.002,69.44,0.774745791666667,0.744277,0.0409374354798908
2020-05-05,28,0.83,2.404,14542,0.002,69.44,0.797184216666667,0.744277,0.0710853844290051
2020-05-06,19,0.81,2.249,23900,0.001,69.44,0.803300408333333,0.744277,0.0793030126328416
2020-05-07,19,0.77,2.172,33893,0.001,69.44,0.799742441666667,0.748248883333333,0.068818757341725
2020-05-08,5,0.75,1.978,34701,0.001,69.44,0.804290483333333,0.740749675,0.085779056647353
2020-05-09,21,0.76,1.667,38206,0,69.44,0.804290483333333,0.768183075,0.0470036499220363
2020-05-10,9,0.77,1.9,32416,0,69.44,0.804290483333333,0.82108775,-0.0204573343916855
2020-05-11,22,0.79,1.823,27247,0,69.44,0.820973825,0.776465441666667,0.0573217827155283
2020-05-12,10,0.8,1.939,22808,0.001,69.44,0.806304441666667,0.776465441666667,0.0384292698667326
2020-05-13,9,0.82,1.978,31098,0,69.44,0.805138625,0.776465441666667,0.0369278293593942
2020-05-14,30,0.85,1.784,34274,0,69.44,0.785350058333333,0.774745791666667,0.0136874143502662
2020-05-15,16,0.81,1.9,40517,0.001,65.74,0.800995391666667,0.797184216666667,0.00478079585661648
2020-05-16,9,0.76,1.939,31836,0.001,64.35,0.800995391666667,0.803300408333333,-0.00286943295777616
2020-05-17,10,0.75,1.745,26474,0,64.35,0.800995391666667,0.799742441666667,0.00156669189319111
