"date","new_cases","reproduction_rate","hosp_patients_per_million","new_tests","positive_rate","stringency_index","average_adjusted_price","Shifted","two_week_return"
2020-04-14,64,0.41,8.298,4357,0.011,73.15,11.1175574,10.8340942,0.0261639962480666
2020-04-15,25,0.4,7.794,4781,0.008,69.44,11.1292936,10.8340942,0.0272472617046287
2020-04-16,22,0.4,7.445,8626,0.004,69.44,11.3732142,11.2809826,0.00817584808614099
2020-04-17,60,0.4,7.135,11527,0.004,69.44,11.4245762,11.009099,0.0377394371691999
2020-04-18,46,0.39,6.864,14980,0.003,69.44,11.4245762,10.826292,0.0552621525449343
2020-04-19,42,0.38,6.592,14589,0.003,69.44,11.4245762,10.8097314,0.0568788230945313
2020-04-20,13,0.36,6.476,10635,0.001,69.44,11.3054926,10.8097314,0.0458624901632616
2020-04-21,22,0.36,6.243,8373,0.003,69.44,10.9671244,10.8097314,0.0145603062810609
2020-04-22,7,0.35,5.894,12430,0.001,69.44,11.0452106,10.8097314,0.0217840010344753
2020-04-23,10,0.36,5.351,14128,0.001,69.44,10.9844962,10.8097314,0.016167358237967
2020-04-24,15,0.37,5.002,15705,0.001,69.44,10.9802424,11.1175574,-0.0123511842628309
2020-04-25,17,0.39,4.459,11887,0.002,69.44,10.9802424,11.1292936,-0.0133926918775868
2020-04-26,20,0.43,4.382,12193,0.001,69.44,10.9802424,11.3732142,-0.0345523959269139
2020-04-27,7,0.46,4.227,10613,0.001,69.44,11.2005862,11.4245762,-0.0196059789071213
2020-04-28,23,0.51,3.606,13616,0.001,69.44,11.1760242,11.4245762,-0.0217559054838288
2020-04-29,8,0.55,3.451,13731,0.001,69.44,10.8882338,11.4245762,-0.0469463716299604
2020-04-30,14,0.59,3.219,19231,0.001,69.44,10.8327888,11.3054926,-0.0418118711607489
2020-05-01,12,0.64,3.063,25227,0,69.44,10.4956262,10.9671244,-0.042991962414505
2020-05-02,21,0.7,2.908,22715,0.001,69.44,10.4956262,11.0452106,-0.0497577112744234
2020-05-03,23,0.77,2.714,21524,0.001,69.44,10.4956262,10.9844962,-0.0445054548792142
2020-05-04,25,0.81,2.559,17107,0.002,69.44,10.712749,10.9802424,-0.0243613383252814
2020-05-05,28,0.83,2.404,14542,0.002,69.44,10.744684,10.9802424,-0.0214529325873533
2020-05-06,19,0.81,2.249,23900,0.001,69.44,10.6659166,10.9802424,-0.0286264900672867
2020-05-07,19,0.77,2.172,33893,0.001,69.44,10.5951716,11.2005862,-0.0540520459545233
2020-05-08,5,0.75,1.978,34701,0.001,69.44,10.5597682,11.1760242,-0.055140897064271
2020-05-09,21,0.76,1.667,38206,0,69.44,10.5597682,10.8882338,-0.0301670230483112
2020-05-10,9,0.77,1.9,32416,0,69.44,10.5597682,10.8327888,-0.0252031683660261
2020-05-11,22,0.79,1.823,27247,0,69.44,10.5156034,10.4956262,0.00190338333505052
2020-05-12,10,0.8,1.939,22808,0.001,69.44,10.5797648,10.4956262,0.00801653930853607
2020-05-13,9,0.82,1.978,31098,0,69.44,10.580033,10.4956262,0.00804209281005072
2020-05-14,30,0.85,1.784,34274,0,69.44,10.6081154,10.712749,-0.00976720354411362
2020-05-15,16,0.81,1.9,40517,0.001,65.74,10.7330044,10.744684,-0.00108701195865795
2020-05-16,9,0.76,1.939,31836,0.001,64.35,10.7330044,10.6659166,0.00628992354956172
2020-05-17,10,0.75,1.745,26474,0,64.35,10.7330044,10.5951716,0.0130090200709916
2020-05-18,14,0.74,1.823,20742,0,67.13,10.7670448,10.5597682,0.0196288967782458
2020-05-19,4,0.72,1.667,24287,0,67.13,10.731414,10.5597682,0.0162546939240579
2020-05-20,9,0.74,1.59,25884,0,67.13,10.6601124,10.5597682,0.0095025002537463
2020-05-21,14,0.76,1.512,25821,0,67.13,10.6316258,10.5156034,0.011033356393034
2020-05-22,4,0.77,1.357,32855,0,67.13,10.5481186,10.5797648,-0.00299120071175881
2020-05-23,15,0.8,1.28,21679,0.001,67.13,10.5481186,10.580033,-0.0030164745232836
2020-05-24,0,0.82,1.202,32273,0,67.13,10.5481186,10.6081154,-0.00565574541166854
