"date","new_cases","reproduction_rate","hosp_patients_per_million","new_tests","positive_rate","stringency_index","average_adjusted_price","Shifted","two_week_return"
2020-04-14,64,0.41,8.298,4357,0.011,73.15,3.6899105625,3.59482,0.0264521067814245
2020-04-15,25,0.4,7.794,4781,0.008,69.44,3.71194991666667,3.59482,0.0325829712382447
2020-04-16,22,0.4,7.445,8626,0.004,69.44,3.7359960625,3.616778875,0.0329622549844162
2020-04-17,60,0.4,7.135,11527,0.004,69.44,3.75706216666667,3.62636535416667,0.0360407183875807
2020-04-18,46,0.39,6.864,14980,0.003,69.44,3.75706216666667,3.62261614583333,0.0371129635106305
2020-04-19,42,0.38,6.592,14589,0.003,69.44,3.75706216666667,3.63895975,0.0324549939489346
2020-04-20,13,0.36,6.476,10635,0.001,69.44,3.731635625,3.63895975,0.02546768344992
2020-04-21,22,0.36,6.243,8373,0.003,69.44,3.67435385416667,3.63895975,0.00972643464019259
2020-04-22,7,0.35,5.894,12430,0.001,69.44,3.67102377083333,3.63895975,0.00881131505599449
2020-04-23,10,0.36,5.351,14128,0.001,69.44,3.66390485416667,3.63895975,0.00685500964023211
2020-04-24,15,0.37,5.002,15705,0.001,69.44,3.66948539583333,3.6899105625,-0.00553540968560184
2020-04-25,17,0.39,4.459,11887,0.002,69.44,3.66948539583333,3.71194991666667,-0.0114399498340933
2020-04-26,20,0.43,4.382,12193,0.001,69.44,3.66948539583333,3.7359960625,-0.0178026597335759
2020-04-27,7,0.46,4.227,10613,0.001,69.44,3.6653474375,3.75706216666667,-0.024411288687309
2020-04-28,23,0.51,3.606,13616,0.001,69.44,3.6708534375,3.75706216666667,-0.0229457819281049
2020-04-29,8,0.55,3.451,13731,0.001,69.44,3.67706585416667,3.75706216666667,-0.0212922514856799
2020-04-30,14,0.59,3.219,19231,0.001,69.44,2.06199183333333,3.731635625,-0.447429481185389
2020-05-01,12,0.64,3.063,25227,0,69.44,2.02393025,3.67435385416667,-0.449173832916258
2020-05-02,21,0.7,2.908,22715,0.001,69.44,2.02393025,3.67102377083333,-0.448674163844883
2020-05-03,23,0.77,2.714,21524,0.001,69.44,2.02393025,3.66390485416667,-0.447602945338948
2020-05-04,25,0.81,2.559,17107,0.002,69.44,2.06900272916667,3.66948539583333,-0.436159977222964
2020-05-05,28,0.83,2.404,14542,0.002,69.44,2.077808625,3.66948539583333,-0.433760214072706
2020-05-06,19,0.81,2.249,23900,0.001,69.44,2.0675255625,3.66948539583333,-0.436562531398093
2020-05-07,19,0.77,2.172,33893,0.001,69.44,2.07179197916667,3.6653474375,-0.434762457176567
2020-05-08,5,0.75,1.978,34701,0.001,69.44,2.08830352083333,3.6708534375,-0.431112258664418
2020-05-09,21,0.76,1.667,38206,0,69.44,2.08830352083333,3.67706585416667,-0.432073396654843
2020-05-10,9,0.77,1.9,32416,0,69.44,2.08830352083333,2.06199183333333,0.0127603257562206
2020-05-11,22,0.79,1.823,27247,0,69.44,2.1028596875,2.02393025,0.0389981015897165
2020-05-12,10,0.8,1.939,22808,0.001,69.44,2.08070625,2.02393025,0.02805235012422
2020-05-13,9,0.82,1.978,31098,0,69.44,2.08524854166667,2.02393025,0.0302966427161543
2020-05-14,30,0.85,1.784,34274,0,69.44,2.0575815,2.06900272916667,-0.00552016147956799
2020-05-15,16,0.81,1.9,40517,0.001,65.74,2.0721580625,2.077808625,-0.00271948168470042
2020-05-16,9,0.76,1.939,31836,0.001,64.35,2.0721580625,2.0675255625,0.00224060107600222
2020-05-17,10,0.75,1.745,26474,0,64.35,2.0721580625,2.07179197916667,0.00017669888531978
2020-05-18,14,0.74,1.823,20742,0,67.13,2.11409975,2.08830352083333,0.0123527202388534
2020-05-19,4,0.72,1.667,24287,0,67.13,2.10903354166667,2.08830352083333,0.00992672790450565
2020-05-20,9,0.74,1.59,25884,0,67.13,2.0955285,2.08830352083333,0.00345973614208324
2020-05-21,14,0.76,1.512,25821,0,67.13,2.08355939583333,2.1028596875,-0.00917811672428415
2020-05-22,4,0.77,1.357,32855,0,67.13,2.05592908333333,2.08070625,-0.0119080560586899
2020-05-23,15,0.8,1.28,21679,0.001,67.13,2.05592908333333,2.08524854166667,-0.0140604142611696
2020-05-24,0,0.82,1.202,32273,0,67.13,2.05592908333333,2.0575815,-0.000803086860309781
2020-05-25,12,0.89,1.163,19304,0,65.28,2.05907404166667,2.0721580625,-0.00631420019066879
2020-05-26,13,0.96,1.163,44465,0.001,65.28,2.0688450625,2.0721580625,-0.00159881625825535
2020-05-27,11,0.99,1.125,49388,0,65.28,2.056715625,2.0721580625,-0.0074523453492583
2020-05-28,15,1.02,0.892,30265,0.001,65.28,2.07579097916667,2.11409975,-0.0181206070495649
2020-05-29,19,1.03,0.853,30348,0.001,63.43,2.0622860625,2.10903354166667,-0.0221653559524352
2020-05-30,8,0.97,0.776,33326,0,63.43,2.0622860625,2.0955285,-0.0158635100882664
2020-05-31,10,0.97,0.776,25829,0,63.43,2.0622860625,2.08355939583333,-0.0102100921029059
2020-06-01,19,0.96,1.008,17824,0,62.04,2.0466166875,2.05592908333333,-0.00452953164037896
2020-06-02,8,0.9,0.969,18276,0.001,62.04,2.051979375,2.05592908333333,-0.00192113062914093
2020-06-03,11,0.86,0.853,22461,0,62.04,2.05885395833333,2.05592908333333,0.00142265364292505
2020-06-04,7,0.82,0.814,33419,0,62.04,2.07459472916667,2.05907404166667,0.00753770247496182
2020-06-05,5,0.79,0.814,31817,0,62.04,2.0796046875,2.0688450625,0.00520078820547246
2020-06-06,7,0.77,0.698,11585,0,62.04,2.0796046875,2.056715625,0.0111289388876987
2020-06-07,6,0.82,0.737,26887,0,62.04,2.0796046875,2.07579097916667,0.00183723138389609
2020-06-08,2,0.86,0.698,16225,0,62.04,2.0796046875,2.0622860625,0.00839778016974291
2020-06-09,7,0.96,0.776,17170,0,60.19,2.110559875,2.0622860625,0.0234079128874488
2020-06-10,11,1.06,0.698,29455,0,60.19,2.12915077083333,2.0622860625,0.0324226156347469
2020-06-11,4,1.15,0.659,31472,0,60.19,2.07818439583333,2.0466166875,0.0154243383854622
2020-06-12,5,1.28,0.62,34215,0,50.46,2.048204125,2.051979375,-0.00183980894057492
2020-06-13,26,1.43,0.62,37226,0,50.46,2.048204125,2.05885395833333,-0.00517269973920565
2020-06-14,15,1.48,0.659,29800,0.001,50.46,2.048204125,2.07459472916667,-0.0127208479784713
2020-06-15,12,1.51,0.659,15970,0.001,50.46,2.00712329166667,2.0796046875,-0.0348534489602765
2020-06-16,23,1.55,0.62,18448,0.001,50.46,2.06335925,2.0796046875,-0.0078117911532164
2020-06-17,21,1.54,0.543,35160,0.001,50.46,2.09736447916667,2.0796046875,0.00853998443714642
2020-06-18,18,1.54,0.582,41495,0.001,50.46,2.0905180625,2.0796046875,0.005247812272014
2020-06-19,2,1.55,0.659,42708,0,50.46,2.08443579166667,2.110559875,-0.012377797779053
2020-06-20,50,1.63,0.62,35173,0.001,50.46,2.08443579166667,2.12915077083333,-0.0210013211742472
2020-06-21,13,1.6,0.698,35946,0.001,50.46,2.08443579166667,2.07818439583333,0.00300810450019102
2020-06-22,18,1.63,0.737,66525,0.001,50.46,2.05378110416667,2.048204125,0.00272286296985506
2020-06-23,29,1.68,0.62,24972,0.001,52.31,2.04064589583333,2.048204125,-0.00369017378415176
2020-06-24,37,1.74,0.62,47603,0.001,52.31,2.05064804166667,2.048204125,0.00119319975818669
2020-06-25,37,1.79,0.465,51917,0.001,52.31,2.0136650625,2.00712329166667,0.0032592770262264
2020-06-26,6,1.85,0.465,49498,0.001,52.31,2.01774941666667,2.06335925,-0.0221046496548448
2020-06-27,85,1.99,0.427,54222,0.001,52.31,2.01774941666667,2.09736447916667,-0.0379595741659708
2020-06-28,78,2.05,0.582,43114,0.001,52.31,2.01774941666667,2.0905180625,-0.0348089055716224
2020-06-29,70,2.03,0.543,36520,0.002,52.31,2.0027623125,2.08443579166667,-0.0391825353859245
2020-06-30,86,2.01,0.698,40287,0.002,52.31,2.0287630625,2.08443579166667,-0.0267087762497841
2020-07-01,81,1.98,0.931,49941,0.002,68.98,2.05150354166667,2.08443579166667,-0.0157991194219841
2020-07-02,65,1.99,1.047,57859,0.001,68.98,2.0916198125,2.05378110416667,0.0184239246609908
2020-07-03,194,2.06,1.125,54078,0.001,68.98,2.11047175,2.04064589583333,0.034217526082913
2020-07-04,183,1.97,1.163,50176,0.002,68.98,2.11047175,2.05064804166667,0.029173074617286
2020-07-05,140,1.89,1.318,45399,0.002,68.98,2.11047175,2.0136650625,0.048074870693646
2020-07-06,172,1.83,1.512,43865,0.003,68.98,2.09957070833333,2.01774941666667,0.0405507695806131
2020-07-07,131,1.76,1.784,43807,0.005,68.98,2.1126646875,2.01774941666667,0.0470401676488322
