"date","new_cases","reproduction_rate","hosp_patients_per_million","new_tests","positive_rate","stringency_index","average_adjusted_price","Shifted","two_week_return"
2020-04-14,64,0.41,8.298,4357,0.011,73.15,6.17200548648649,5.69360697297297,0.0840238035017918
2020-04-15,25,0.4,7.794,4781,0.008,69.44,6.17253322972973,5.69360697297297,0.0841164939958405
2020-04-16,22,0.4,7.445,8626,0.004,69.44,6.09490086666667,5.92269312162162,0.0290759189289035
2020-04-17,60,0.4,7.135,11527,0.004,69.44,6.17823629333333,5.85279835135135,0.0556038193092441
2020-04-18,46,0.39,6.864,14980,0.003,69.44,6.17823629333333,5.80142077027027,0.0649522828949207
2020-04-19,42,0.38,6.592,14589,0.003,69.44,6.17823629333333,5.94096232432432,0.0399386422697092
2020-04-20,13,0.36,6.476,10635,0.001,69.44,6.03483845333333,5.94096232432432,0.0158015021614676
2020-04-21,22,0.36,6.243,8373,0.003,69.44,5.91168410666667,5.94096232432432,-0.00492819446738162
2020-04-22,7,0.35,5.894,12430,0.001,69.44,5.88165058666667,5.94096232432432,-0.00998352361448502
2020-04-23,10,0.36,5.351,14128,0.001,69.44,5.78906918666667,5.94096232432432,-0.0255670932360159
2020-04-24,15,0.37,5.002,15705,0.001,69.44,5.80868022666667,6.17200548648649,-0.0588666456333059
2020-04-25,17,0.39,4.459,11887,0.002,69.44,5.80868022666667,6.17253322972973,-0.0589471112622904
2020-04-26,20,0.43,4.382,12193,0.001,69.44,5.80868022666667,6.09490086666667,-0.0469606719225501
2020-04-27,7,0.46,4.227,10613,0.001,69.44,5.97484928,6.17823629333333,-0.0329199149525569
2020-04-28,23,0.51,3.606,13616,0.001,69.44,5.98309756,6.17823629333333,-0.0315848608030579
2020-04-29,8,0.55,3.451,13731,0.001,69.44,5.90791004,6.17823629333333,-0.0437545992899351
2020-04-30,14,0.59,3.219,19231,0.001,69.44,5.93864961333333,6.03483845333333,-0.0159389254151236
2020-05-01,12,0.64,3.063,25227,0,69.44,5.86010606666667,5.91168410666667,-0.00872476253286856
2020-05-02,21,0.7,2.908,22715,0.001,69.44,5.86010606666667,5.88165058666667,-0.003663005763865
2020-05-03,23,0.77,2.714,21524,0.001,69.44,5.86010606666667,5.78906918666667,0.0122708638831976
2020-05-04,25,0.81,2.559,17107,0.002,69.44,5.91427870666667,5.80868022666667,0.0181794273190002
2020-05-05,28,0.83,2.404,14542,0.002,69.44,5.91858266666667,5.80868022666667,0.0189203804842719
2020-05-06,19,0.81,2.249,23900,0.001,69.44,5.94133453333333,5.80868022666667,0.0228372541593309
2020-05-07,19,0.77,2.172,33893,0.001,69.44,5.99997657333333,5.97484928,0.00420551082643093
2020-05-08,5,0.75,1.978,34701,0.001,69.44,5.95658113333333,5.98309756,-0.00443188940189476
2020-05-09,21,0.76,1.667,38206,0,69.44,5.95658113333333,5.90791004,0.00823829289948593
2020-05-10,9,0.77,1.9,32416,0,69.44,5.95658113333333,5.93864961333333,0.00301946084842939
2020-05-11,22,0.79,1.823,27247,0,69.44,6.1057982,5.86010606666667,0.0419262263409998
2020-05-12,10,0.8,1.939,22808,0.001,69.44,6.10565944,5.86010606666667,0.0419025475887006
2020-05-13,9,0.82,1.978,31098,0,69.44,6.15448041333333,5.86010606666667,0.0502336209136419
2020-05-14,30,0.85,1.784,34274,0,69.44,6.02861750666667,5.91427870666667,0.0193326702495632
2020-05-15,16,0.81,1.9,40517,0.001,65.74,6.11246292,5.91858266666667,0.032757885502768
2020-05-16,9,0.76,1.939,31836,0.001,64.35,6.11246292,5.94133453333333,0.0288030215613287
2020-05-17,10,0.75,1.745,26474,0,64.35,6.11246292,5.99997657333333,0.0187477976441789
2020-05-18,14,0.74,1.823,20742,0,67.13,6.18734470666667,5.95658113333333,0.0387409435325188
2020-05-19,4,0.72,1.667,24287,0,67.13,6.1321694,5.95658113333333,0.029478028207165
2020-05-20,9,0.74,1.59,25884,0,67.13,6.18494424,5.95658113333333,0.038337949497361
2020-05-21,14,0.76,1.512,25821,0,67.13,6.23413225333333,6.1057982,0.0210183909015096
2020-05-22,4,0.77,1.357,32855,0,67.13,6.15487169333333,6.10565944,0.00806010453366079
2020-05-23,15,0.8,1.28,21679,0.001,67.13,6.15487169333333,6.15448041333333,6.35764473556492e-05
2020-05-24,0,0.82,1.202,32273,0,67.13,6.15487169333333,6.02861750666667,0.0209424775293921
