"date","new_cases","reproduction_rate","hosp_patients_per_million","new_tests","positive_rate","stringency_index","average_adjusted_price","Shifted","two_week_return"
2020-04-14,64,0.41,8.298,4357,0.011,73.15,8.1148277,7.7585877,0.0459155730107942
2020-04-15,25,0.4,7.794,4781,0.008,69.44,8.2666849,7.7585877,0.0654883620120708
2020-04-16,22,0.4,7.445,8626,0.004,69.44,8.3973601,8.1258916,0.0334078416699528
2020-04-17,60,0.4,7.135,11527,0.004,69.44,8.6078766,8.1103691,0.06134215272644
2020-04-18,46,0.39,6.864,14980,0.003,69.44,8.6078766,8.0288948,0.0721122663109248
2020-04-19,42,0.38,6.592,14589,0.003,69.44,8.6078766,8.0984951,0.0628982908194882
2020-04-20,13,0.36,6.476,10635,0.001,69.44,8.80387,8.0984951,0.0870995032151098
2020-04-21,22,0.36,6.243,8373,0.003,69.44,8.5071621,8.0984951,0.0504620914075754
2020-04-22,7,0.35,5.894,12430,0.001,69.44,8.1006311,8.0984951,0.000263752706351815
2020-04-23,10,0.36,5.351,14128,0.001,69.44,7.7166828,8.0984951,-0.047146080263727
2020-04-24,15,0.37,5.002,15705,0.001,69.44,7.7060753,8.1148277,-0.0503710510082673
2020-04-25,17,0.39,4.459,11887,0.002,69.44,7.7060753,8.2666849,-0.067815527842364
2020-04-26,20,0.43,4.382,12193,0.001,69.44,7.7060753,8.3973601,-0.0823216810721266
2020-04-27,7,0.46,4.227,10613,0.001,69.44,7.7732562,8.6078766,-0.0969600795624788
2020-04-28,23,0.51,3.606,13616,0.001,69.44,7.8227609,8.6078766,-0.0912089864299402
2020-04-29,8,0.55,3.451,13731,0.001,69.44,7.8547369,8.6078766,-0.0874942491624473
2020-04-30,14,0.59,3.219,19231,0.001,69.44,8.1823513,8.80387,-0.0705960787699047
2020-05-01,12,0.64,3.063,25227,0,69.44,8.2627756,8.5071621,-0.028727147446738
2020-05-02,21,0.7,2.908,22715,0.001,69.44,8.2627756,8.1006311,0.0200162799661372
2020-05-03,23,0.77,2.714,21524,0.001,69.44,8.2627756,7.7166828,0.0707678174875868
2020-05-04,25,0.81,2.559,17107,0.002,69.44,8.379616,7.7060753,0.0874038565390091
2020-05-05,28,0.83,2.404,14542,0.002,69.44,8.2297032,7.7060753,0.0679500108180879
2020-05-06,19,0.81,2.249,23900,0.001,69.44,8.3169318,7.7060753,0.0792694693756758
2020-05-07,19,0.77,2.172,33893,0.001,69.44,8.3641436,7.7732562,0.0760154283863692
2020-05-08,5,0.75,1.978,34701,0.001,69.44,8.212845,7.8227609,0.0498652719911202
2020-05-09,21,0.76,1.667,38206,0,69.44,8.212845,7.8547369,0.04559135519867
2020-05-10,9,0.77,1.9,32416,0,69.44,8.212845,8.1823513,0.00372676494591487
2020-05-11,22,0.79,1.823,27247,0,69.44,8.3611927,8.2627756,0.0119109007389721
2020-05-12,10,0.8,1.939,22808,0.001,69.44,8.2165577,8.2627756,-0.00559350782804755
2020-05-13,9,0.82,1.978,31098,0,69.44,8.2134315,8.2627756,-0.00597185526858563
2020-05-14,30,0.85,1.784,34274,0,69.44,8.0289205,8.379616,-0.0418510227676305
2020-05-15,16,0.81,1.9,40517,0.001,65.74,8.2339133,8.2297032,0.000511573734518355
2020-05-16,9,0.76,1.939,31836,0.001,64.35,8.2339133,8.3169318,-0.00998186614924504
2020-05-17,10,0.75,1.745,26474,0,64.35,8.2339133,8.3641436,-0.0155700698395469
2020-05-18,14,0.74,1.823,20742,0,67.13,8.3127079,8.212845,0.0121593552538738
2020-05-19,4,0.72,1.667,24287,0,67.13,8.3303602,8.212845,0.0143087078838088
2020-05-20,9,0.74,1.59,25884,0,67.13,8.4982175,8.212845,0.0347470943381982
2020-05-21,14,0.76,1.512,25821,0,67.13,8.4917397,8.3611927,0.0156134423262365
