"date","new_cases","reproduction_rate","hosp_patients_per_million","new_tests","positive_rate","stringency_index","average_adjusted_price","Shifted","two_week_return"
2020-04-14,64,0.41,8.298,4357,0.011,73.15,4.073882,3.95535118181818,0.0299672046130004
2020-04-15,25,0.4,7.794,4781,0.008,69.44,4.052653,3.95535118181818,0.0246000452827279
2020-04-16,22,0.4,7.445,8626,0.004,69.44,4.113632,4.032178,0.0202009931109192
2020-04-17,60,0.4,7.135,11527,0.004,69.44,4.16049745454545,3.99202818181818,0.0422014237010079
2020-04-18,46,0.39,6.864,14980,0.003,69.44,4.16049745454545,3.998218,0.0405879455661134
2020-04-19,42,0.38,6.592,14589,0.003,69.44,4.16049745454545,4.06648590909091,0.0231186207345208
2020-04-20,13,0.36,6.476,10635,0.001,69.44,4.06285554545455,4.06648590909091,-0.000892752051162406
2020-04-21,22,0.36,6.243,8373,0.003,69.44,3.97520945454545,4.06648590909091,-0.0224460275004027
2020-04-22,7,0.35,5.894,12430,0.001,69.44,4.00922045454545,4.06648590909091,-0.0140822950886007
2020-04-23,10,0.36,5.351,14128,0.001,69.44,4.01952945454545,4.06648590909091,-0.0115471824064311
2020-04-24,15,0.37,5.002,15705,0.001,69.44,4.03449381818182,4.073882,-0.00966846408859697
2020-04-25,17,0.39,4.459,11887,0.002,69.44,4.03449381818182,4.052653,-0.00448081338771952
2020-04-26,20,0.43,4.382,12193,0.001,69.44,4.03449381818182,4.113632,-0.0192380314569172
2020-04-27,7,0.46,4.227,10613,0.001,69.44,4.06338536363636,4.16049745454545,-0.023341461440625
2020-04-28,23,0.51,3.606,13616,0.001,69.44,4.101664,4.16049745454545,-0.0141409663599667
2020-04-29,8,0.55,3.451,13731,0.001,69.44,4.156196,4.16049745454545,-0.00103387986471547
2020-04-30,14,0.59,3.219,19231,0.001,69.44,4.22201809090909,4.06285554545455,0.0391750441712392
2020-05-01,12,0.64,3.063,25227,0,69.44,4.05980572727273,3.97520945454545,0.0212809598323281
2020-05-02,21,0.7,2.908,22715,0.001,69.44,4.05980572727273,4.00922045454545,0.0126172340236171
2020-05-03,23,0.77,2.714,21524,0.001,69.44,4.05980572727273,4.01952945454545,0.010020146184456
2020-05-04,25,0.81,2.559,17107,0.002,69.44,4.07135627272727,4.03449381818182,0.00913682266145256
2020-05-05,28,0.83,2.404,14542,0.002,69.44,4.11440154545455,4.03449381818182,0.0198061345174493
2020-05-06,19,0.81,2.249,23900,0.001,69.44,4.07799809090909,4.03449381818182,0.0107830807748958
2020-05-07,19,0.77,2.172,33893,0.001,69.44,4.06952763636364,4.06338536363636,0.00151161462120729
2020-05-08,5,0.75,1.978,34701,0.001,69.44,4.10791190909091,4.101664,0.00152326204460152
2020-05-09,21,0.76,1.667,38206,0,69.44,4.10791190909091,4.156196,-0.0116173758189199
2020-05-10,9,0.77,1.9,32416,0,69.44,4.10791190909091,4.22201809090909,-0.0270264549704032
2020-05-11,22,0.79,1.823,27247,0,69.44,4.13086154545455,4.05980572727273,0.0175022705408005
2020-05-12,10,0.8,1.939,22808,0.001,69.44,4.07230318181818,4.05980572727273,0.00307833807452896
2020-05-13,9,0.82,1.978,31098,0,69.44,4.05898836363636,4.05980572727273,-0.000201330726461237
2020-05-14,30,0.85,1.784,34274,0,69.44,4.04057672727273,4.07135627272727,-0.00756002260493091
2020-05-15,16,0.81,1.9,40517,0.001,65.74,4.09147218181818,4.11440154545455,-0.00557295231956512
2020-05-16,9,0.76,1.939,31836,0.001,64.35,4.09147218181818,4.07799809090909,0.00330409446221384
2020-05-17,10,0.75,1.745,26474,0,64.35,4.09147218181818,4.06952763636364,0.00539240605186176
2020-05-18,14,0.74,1.823,20742,0,67.13,4.09734763636364,4.10791190909091,-0.00257168920879081
2020-05-19,4,0.72,1.667,24287,0,67.13,4.11848927272727,4.10791190909091,0.002574875963858
2020-05-20,9,0.74,1.59,25884,0,67.13,4.14086363636364,4.10791190909091,0.00802152723864526
2020-05-21,14,0.76,1.512,25821,0,67.13,4.17104072727273,4.13086154545455,0.00972658642175817
2020-05-22,4,0.77,1.357,32855,0,67.13,4.14725945454545,4.07230318181818,0.0184063586085471
2020-05-23,15,0.8,1.28,21679,0.001,67.13,4.14725945454545,4.05898836363636,0.021747066756804
2020-05-24,0,0.82,1.202,32273,0,67.13,4.14725945454545,4.04057672727273,0.0264028465423388
2020-05-25,12,0.89,1.163,19304,0,65.28,4.22513872727273,4.09147218181818,0.0326695476627059
2020-05-26,13,0.96,1.163,44465,0.001,65.28,4.312272,4.09147218181818,0.0539658607879617
2020-05-27,11,0.99,1.125,49388,0,65.28,4.42084272727273,4.09147218181818,0.0805017193855581
2020-05-28,15,1.02,0.892,30265,0.001,65.28,4.45738363636364,4.09734763636364,0.0878705035434897
2020-05-29,19,1.03,0.853,30348,0.001,63.43,4.50031345454545,4.11848927272727,0.0927097672310645
2020-05-30,8,0.97,0.776,33326,0,63.43,4.50031345454545,4.14086363636364,0.0868055192702444
2020-05-31,10,0.97,0.776,25829,0,63.43,4.50031345454545,4.17104072727273,0.0789425826316555
2020-06-01,19,0.96,1.008,17824,0,62.04,4.44263754545455,4.14725945454545,0.071222476950496
2020-06-02,8,0.9,0.969,18276,0.001,62.04,4.418106,4.14725945454545,0.0653073549950422
2020-06-03,11,0.86,0.853,22461,0,62.04,4.485386,4.14725945454545,0.0815301162515777
2020-06-04,7,0.82,0.814,33419,0,62.04,4.53028818181818,4.22513872727273,0.0722223515587203
2020-06-05,5,0.79,0.814,31817,0,62.04,4.59723927272727,4.312272,0.0660828613610813
2020-06-06,7,0.77,0.698,11585,0,62.04,4.59723927272727,4.42084272727273,0.0399011130539283
2020-06-07,6,0.82,0.737,26887,0,62.04,4.59723927272727,4.45738363636364,0.031376172161329
2020-06-08,2,0.86,0.698,16225,0,62.04,4.59723927272727,4.50031345454545,0.0215375704738789
2020-06-09,7,0.96,0.776,17170,0,60.19,4.67929690909091,4.50031345454545,0.0397713306757945
2020-06-10,11,1.06,0.698,29455,0,60.19,4.68888327272727,4.50031345454545,0.0419014853268401
