"date","new_cases","reproduction_rate","hosp_patients_per_million","new_tests","positive_rate","stringency_index","average_adjusted_price","Shifted","two_week_return"
2020-04-14,64,0.41,8.298,4357,0.011,73.15,0.776535180412371,0.701962135738832,0.106235138445252
2020-04-15,25,0.4,7.794,4781,0.008,69.44,0.773655189003436,0.701962135738832,0.10213236528655
2020-04-16,22,0.4,7.445,8626,0.004,69.44,0.761739658075601,0.720858592783505,0.0567116293006082
2020-04-17,60,0.4,7.135,11527,0.004,69.44,0.771869649484536,0.730812305841924,0.0561804218599084
2020-04-18,46,0.39,6.864,14980,0.003,69.44,0.771869649484536,0.728115855670103,0.0600918019758893
2020-04-19,42,0.38,6.592,14589,0.003,69.44,0.771869649484536,0.73996035395189,0.0431229799843042
2020-04-20,13,0.36,6.476,10635,0.001,69.44,0.755545996563574,0.73996035395189,0.0210628076604995
2020-04-21,22,0.36,6.243,8373,0.003,69.44,0.745723434707904,0.73996035395189,0.00778836423496876
2020-04-22,7,0.35,5.894,12430,0.001,69.44,0.733377108247423,0.73996035395189,-0.00889675462922905
2020-04-23,10,0.36,5.351,14128,0.001,69.44,0.749045371134021,0.73996035395189,0.0122777080334242
2020-04-24,15,0.37,5.002,15705,0.001,69.44,0.751488369415808,0.776535180412371,-0.0322545734286793
2020-04-25,17,0.39,4.459,11887,0.002,69.44,0.751488369415808,0.773655189003436,-0.0286520660659983
2020-04-26,20,0.43,4.382,12193,0.001,69.44,0.751488369415808,0.761739658075601,-0.0134577326401672
2020-04-27,7,0.46,4.227,10613,0.001,69.44,0.759474687285223,0.771869649484536,-0.0160583619366174
2020-04-28,23,0.51,3.606,13616,0.001,69.44,0.756322175257732,0.771869649484536,-0.0201426163565143
2020-04-29,8,0.55,3.451,13731,0.001,69.44,0.765041757731959,0.771869649484536,-0.00884591298172834
2020-04-30,14,0.59,3.219,19231,0.001,69.44,0.786997427835052,0.755545996563574,0.041627420983669
2020-05-01,12,0.64,3.063,25227,0,69.44,0.746940362542955,0.745723434707904,0.00163187554314721
2020-05-02,21,0.7,2.908,22715,0.001,69.44,0.746940362542955,0.733377108247423,0.0184942427886048
2020-05-03,23,0.77,2.714,21524,0.001,69.44,0.746940362542955,0.749045371134021,-0.00281025512230097
2020-05-04,25,0.81,2.559,17107,0.002,69.44,0.751218810996564,0.751488369415808,-0.000358699389391043
2020-05-05,28,0.83,2.404,14542,0.002,69.44,0.767542517182131,0.751488369415808,0.0213631353720128
2020-05-06,19,0.81,2.249,23900,0.001,69.44,0.768332228522337,0.751488369415808,0.0224139983957746
2020-05-07,19,0.77,2.172,33893,0.001,69.44,0.767755525773196,0.759474687285223,0.0109033765398722
2020-05-08,5,0.75,1.978,34701,0.001,69.44,0.772469487972509,0.756322175257732,0.021349780877804
2020-05-09,21,0.76,1.667,38206,0,69.44,0.772469487972509,0.765041757731959,0.00970892133073901
2020-05-10,9,0.77,1.9,32416,0,69.44,0.772469487972509,0.786997427835052,-0.0184599585064818
2020-05-11,22,0.79,1.823,27247,0,69.44,0.781171670103093,0.746940362542955,0.0458287023660055
2020-05-12,10,0.8,1.939,22808,0.001,69.44,0.77204664604811,0.746940362542955,0.0336121660632723
2020-05-13,9,0.82,1.978,31098,0,69.44,0.774751513745705,0.746940362542955,0.0372334293303768
2020-05-14,30,0.85,1.784,34274,0,69.44,0.770248209621993,0.751218810996564,0.0253313659707019
2020-05-15,16,0.81,1.9,40517,0.001,65.74,0.786035156357388,0.767542517182131,0.0240933091799911
2020-05-16,9,0.76,1.939,31836,0.001,64.35,0.786035156357388,0.768332228522337,0.023040720118038
2020-05-17,10,0.75,1.745,26474,0,64.35,0.786035156357388,0.767755525773196,0.0238091814002684
2020-05-18,14,0.74,1.823,20742,0,67.13,0.813006453608247,0.772469487972509,0.0524771091504672
2020-05-19,4,0.72,1.667,24287,0,67.13,0.835394190721649,0.772469487972509,0.0814591433433812
