"date","new_cases","reproduction_rate","hosp_patients_per_million","new_tests","positive_rate","stringency_index","average_adjusted_price","Shifted","two_week_return"
2020-04-14,64,0.41,8.298,4357,0.011,73.15,3.76941225,3.43597211363636,0.0970439006301333
2020-04-15,25,0.4,7.794,4781,0.008,69.44,3.71526220454545,3.43597211363636,0.0812841553051815
2020-04-16,22,0.4,7.445,8626,0.004,69.44,3.65065734090909,3.51679681818182,0.0380631949037302
2020-04-17,60,0.4,7.135,11527,0.004,69.44,3.70277706818182,3.57033952272727,0.0370938238818757
2020-04-18,46,0.39,6.864,14980,0.003,69.44,3.70277706818182,3.60307968181818,0.0276700476169673
2020-04-19,42,0.38,6.592,14589,0.003,69.44,3.70277706818182,3.68606661363636,0.00453341089486423
2020-04-20,13,0.36,6.476,10635,0.001,69.44,3.65513238636364,3.68606661363636,-0.0083922051647923
2020-04-21,22,0.36,6.243,8373,0.003,69.44,3.58310931818182,3.68606661363636,-0.0279314798798432
2020-04-22,7,0.35,5.894,12430,0.001,69.44,3.56056747727273,3.68606661363636,-0.0340468986369809
2020-04-23,10,0.36,5.351,14128,0.001,69.44,3.54207870454545,3.68606661363636,-0.039062752842891
2020-04-24,15,0.37,5.002,15705,0.001,69.44,3.56002120454545,3.76941225,-0.0555500517234604
2020-04-25,17,0.39,4.459,11887,0.002,69.44,3.56002120454545,3.71526220454545,-0.0417846686056423
2020-04-26,20,0.43,4.382,12193,0.001,69.44,3.56002120454545,3.65065734090909,-0.0248273469405009
2020-04-27,7,0.46,4.227,10613,0.001,69.44,3.72733709090909,3.70277706818182,0.00663286562356626
2020-04-28,23,0.51,3.606,13616,0.001,69.44,3.72944793181818,3.70277706818182,0.00720293529565898
2020-04-29,8,0.55,3.451,13731,0.001,69.44,3.84183963636364,3.70277706818182,0.0375562896769538
2020-04-30,14,0.59,3.219,19231,0.001,69.44,3.94804006818182,3.65513238636364,0.0801359980587695
2020-05-01,12,0.64,3.063,25227,0,69.44,3.79503918181818,3.58310931818182,0.0591469153790439
2020-05-02,21,0.7,2.908,22715,0.001,69.44,3.79503918181818,3.56056747727273,0.0658523412467533
2020-05-03,23,0.77,2.714,21524,0.001,69.44,3.79503918181818,3.54207870454545,0.0714158262344961
2020-05-04,25,0.81,2.559,17107,0.002,69.44,3.76469590909091,3.56002120454545,0.0574925520904551
2020-05-05,28,0.83,2.404,14542,0.002,69.44,3.84790536363636,3.56002120454545,0.0808658551593279
2020-05-06,19,0.81,2.249,23900,0.001,69.44,3.88980152272727,3.56002120454545,0.0926343690764404
2020-05-07,19,0.77,2.172,33893,0.001,69.44,3.88673272727273,3.72733709090909,0.04276394446652
2020-05-08,5,0.75,1.978,34701,0.001,69.44,4.08959763636364,3.72944793181818,0.0965691735424964
2020-05-09,21,0.76,1.667,38206,0,69.44,4.08959763636364,3.84183963636364,0.0644894174277682
2020-05-10,9,0.77,1.9,32416,0,69.44,4.08959763636364,3.94804006818182,0.0358551498305864
2020-05-11,22,0.79,1.823,27247,0,69.44,4.11743777272727,3.79503918181818,0.0849526382899245
2020-05-12,10,0.8,1.939,22808,0.001,69.44,4.06745506818182,3.79503918181818,0.0717821011358105
2020-05-13,9,0.82,1.978,31098,0,69.44,4.05277522727273,3.79503918181818,0.0679139352998895
2020-05-14,30,0.85,1.784,34274,0,69.44,3.99040897727273,3.76469590909091,0.0599551925659576
2020-05-15,16,0.81,1.9,40517,0.001,65.74,4.00369386363636,3.84790536363636,0.0404865726356575
2020-05-16,9,0.76,1.939,31836,0.001,64.35,4.00369386363636,3.88980152272727,0.0292797306607143
2020-05-17,10,0.75,1.745,26474,0,64.35,4.00369386363636,3.88673272727273,0.03009240525929
2020-05-18,14,0.74,1.823,20742,0,67.13,4.10413177272727,4.08959763636364,0.00355392819929358
2020-05-19,4,0.72,1.667,24287,0,67.13,4.19954927272727,4.08959763636364,0.0268856856200169
2020-05-20,9,0.74,1.59,25884,0,67.13,4.24916134090909,4.08959763636364,0.039016969084356
2020-05-21,14,0.76,1.512,25821,0,67.13,4.26977597727273,4.11743777272727,0.036998301602637
2020-05-22,4,0.77,1.357,32855,0,67.13,4.27507695454545,4.06745506818182,0.0510446662306819
