"date","new_cases","reproduction_rate","hosp_patients_per_million","new_tests","positive_rate","stringency_index","average_adjusted_price","Shifted","two_week_return"
2020-04-14,64,0.41,8.298,4357,0.011,73.15,5.12387005263158,4.70356636842105,0.0893585103916834
2020-04-15,25,0.4,7.794,4781,0.008,69.44,5.09975252631579,4.70356636842105,0.0842310125683913
2020-04-16,22,0.4,7.445,8626,0.004,69.44,5.10322040789474,4.97021584210526,0.0267603198763972
2020-04-17,60,0.4,7.135,11527,0.004,69.44,5.16716028947368,4.87958657894737,0.0589340317819203
2020-04-18,46,0.39,6.864,14980,0.003,69.44,5.16716028947368,4.88259447368421,0.0582816814550548
2020-04-19,42,0.38,6.592,14589,0.003,69.44,5.16716028947368,5.13460653947368,0.00634006710148755
2020-04-20,13,0.36,6.476,10635,0.001,69.44,5.00752168421053,5.13460653947368,-0.0247506511523634
2020-04-21,22,0.36,6.243,8373,0.003,69.44,4.82401363157895,5.13460653947368,-0.0604901087370511
2020-04-22,7,0.35,5.894,12430,0.001,69.44,4.91331230263158,5.13460653947368,-0.0430985772991262
2020-04-23,10,0.36,5.351,14128,0.001,69.44,4.80745923684211,5.13460653947368,-0.0637141911686017
2020-04-24,15,0.37,5.002,15705,0.001,69.44,4.91233909210526,5.12387005263158,-0.0412834358314131
2020-04-25,17,0.39,4.459,11887,0.002,69.44,4.91233909210526,5.09975252631579,-0.0367495154408834
2020-04-26,20,0.43,4.382,12193,0.001,69.44,4.91233909210526,5.10322040789474,-0.0374040900710811
2020-04-27,7,0.46,4.227,10613,0.001,69.44,5.06372372368421,5.16716028947368,-0.0200180679512091
2020-04-28,23,0.51,3.606,13616,0.001,69.44,5.04636119736842,5.16716028947368,-0.0233782358854535
2020-04-29,8,0.55,3.451,13731,0.001,69.44,4.98956132894737,5.16716028947368,-0.0343707085859351
2020-04-30,14,0.59,3.219,19231,0.001,69.44,4.93713768421053,5.00752168421053,-0.014055655559502
2020-05-01,12,0.64,3.063,25227,0,69.44,4.77539635526316,4.82401363157895,-0.010078179712746
2020-05-02,21,0.7,2.908,22715,0.001,69.44,4.77539635526316,4.91331230263158,-0.0280698516344163
2020-05-03,23,0.77,2.714,21524,0.001,69.44,4.77539635526316,4.80745923684211,-0.0066694026926391
