"date","new_cases","reproduction_rate","hosp_patients_per_million","new_tests","positive_rate","stringency_index","average_adjusted_price","Shifted","two_week_return"
2020-04-14,64,0.41,8.298,4357,0.011,73.15,3.06129152173913,2.67551982608696,0.14418569875312
2020-04-15,25,0.4,7.794,4781,0.008,69.44,3.06909754347826,2.67551982608696,0.147103270756519
2020-04-16,22,0.4,7.445,8626,0.004,69.44,2.98403156521739,2.78144263043478,0.0728359206714757
2020-04-17,60,0.4,7.135,11527,0.004,69.44,3.05354152173913,2.79175926086957,0.0937696400039973
2020-04-18,46,0.39,6.864,14980,0.003,69.44,3.05354152173913,2.84590982608696,0.0729579320289502
2020-04-19,42,0.38,6.592,14589,0.003,69.44,3.05354152173913,3.02790341304348,0.00846728088657289
2020-04-20,13,0.36,6.476,10635,0.001,69.44,2.97760991304348,3.02790341304348,-0.0166100080284423
2020-04-21,22,0.36,6.243,8373,0.003,69.44,2.90462802173913,3.02790341304348,-0.0407131187782632
2020-04-22,7,0.35,5.894,12430,0.001,69.44,2.94497384782609,3.02790341304348,-0.0273884447106703
2020-04-23,10,0.36,5.351,14128,0.001,69.44,2.94968708695652,3.02790341304348,-0.0258318431658088
2020-04-24,15,0.37,5.002,15705,0.001,69.44,2.97837930434783,3.06129152173913,-0.027084064618649
2020-04-25,17,0.39,4.459,11887,0.002,69.44,2.97837930434783,3.06909754347826,-0.0295586040669214
2020-04-26,20,0.43,4.382,12193,0.001,69.44,2.97837930434783,2.98403156521739,-0.00189416926263436
2020-04-27,7,0.46,4.227,10613,0.001,69.44,3.09400486956522,3.05354152173913,0.0132512846273797
2020-04-28,23,0.51,3.606,13616,0.001,69.44,3.12249402173913,3.05354152173913,0.0225811568335016
2020-04-29,8,0.55,3.451,13731,0.001,69.44,3.19751152173913,3.05354152173913,0.0471485319505343
2020-04-30,14,0.59,3.219,19231,0.001,69.44,3.28297065217391,2.97760991304348,0.102552298000082
2020-05-01,12,0.64,3.063,25227,0,69.44,3.16013869565217,2.90462802173913,0.0879667454836636
2020-05-02,21,0.7,2.908,22715,0.001,69.44,3.16013869565217,2.94497384782609,0.0730617176736278
2020-05-03,23,0.77,2.714,21524,0.001,69.44,3.16013869565217,2.94968708695652,0.0713470963161707
2020-05-04,25,0.81,2.559,17107,0.002,69.44,3.13756882608696,2.97837930434783,0.05344837089982
2020-05-05,28,0.83,2.404,14542,0.002,69.44,3.18212134782609,2.97837930434783,0.0684070169238818
2020-05-06,19,0.81,2.249,23900,0.001,69.44,3.21273710869565,2.97837930434783,0.0786863526770119
2020-05-07,19,0.77,2.172,33893,0.001,69.44,3.21418189130435,3.09400486956522,0.0388418980594616
2020-05-08,5,0.75,1.978,34701,0.001,69.44,3.31255439130435,3.12249402173913,0.0608681292076133
2020-05-09,21,0.76,1.667,38206,0,69.44,3.31255439130435,3.19751152173913,0.0359788756922588
2020-05-10,9,0.77,1.9,32416,0,69.44,3.31255439130435,3.28297065217391,0.00901127127373055
2020-05-11,22,0.79,1.823,27247,0,69.44,3.40436717391304,3.16013869565217,0.0772841010417951
2020-05-12,10,0.8,1.939,22808,0.001,69.44,3.35952597826087,3.16013869565217,0.0630944720505526
2020-05-13,9,0.82,1.978,31098,0,69.44,3.3512662173913,3.16013869565217,0.060480738393568
2020-05-14,30,0.85,1.784,34274,0,69.44,3.29402704347826,3.13756882608696,0.0498660670294944
2020-05-15,16,0.81,1.9,40517,0.001,65.74,3.32289784782609,3.18212134782609,0.0442398276533902
2020-05-16,9,0.76,1.939,31836,0.001,64.35,3.32289784782609,3.21273710869565,0.0342887498738293
2020-05-17,10,0.75,1.745,26474,0,64.35,3.32289784782609,3.21418189130435,0.0338238345551817
2020-05-18,14,0.74,1.823,20742,0,67.13,3.35714397826087,3.31255439130435,0.013460786356768
2020-05-19,4,0.72,1.667,24287,0,67.13,3.43000232608696,3.31255439130435,0.0354553981335118
2020-05-20,9,0.74,1.59,25884,0,67.13,3.46583019565217,3.31255439130435,0.0462711811616389
2020-05-21,14,0.76,1.512,25821,0,67.13,3.51081945652174,3.40436717391304,0.0312693305893729
2020-05-22,4,0.77,1.357,32855,0,67.13,3.49860143478261,3.35952597826087,0.0413973451676461
2020-05-23,15,0.8,1.28,21679,0.001,67.13,3.49860143478261,3.3512662173913,0.0439640445831228
2020-05-24,0,0.82,1.202,32273,0,67.13,3.49860143478261,3.29402704347826,0.0621046483845293
