"date","new_cases","reproduction_rate","hosp_patients_per_million","new_tests","positive_rate","stringency_index","average_adjusted_price","Shifted","two_week_return"
2020-04-14,64,0.41,8.298,4357,0.011,73.15,2.1554511984127,1.87218147619048,0.15130462822366
2020-04-15,25,0.4,7.794,4781,0.008,69.44,2.16595854761905,1.87218147619048,0.156916984365399
2020-04-16,22,0.4,7.445,8626,0.004,69.44,2.14759246825397,1.9654078968254,0.0926955527770308
2020-04-17,60,0.4,7.135,11527,0.004,69.44,2.18238742063492,2.00143347619048,0.0904121703754408
2020-04-18,46,0.39,6.864,14980,0.003,69.44,2.18238742063492,2.01862665079365,0.0811248428613013
2020-04-19,42,0.38,6.592,14589,0.003,69.44,2.18238742063492,2.10280531746032,0.0378456828665047
2020-04-20,13,0.36,6.476,10635,0.001,69.44,2.17134342063492,2.10280531746032,0.0325936512550674
2020-04-21,22,0.36,6.243,8373,0.003,69.44,2.07792949206349,2.10280531746032,-0.0118298280826443
2020-04-22,7,0.35,5.894,12430,0.001,69.44,2.09597369047619,2.10280531746032,-0.00324881572602179
2020-04-23,10,0.36,5.351,14128,0.001,69.44,2.09589371428571,2.10280531746032,-0.00328684881915308
2020-04-24,15,0.37,5.002,15705,0.001,69.44,2.10862653968254,2.1554511984127,-0.0217238315414615
2020-04-25,17,0.39,4.459,11887,0.002,69.44,2.10862653968254,2.16595854761905,-0.0264695776378227
2020-04-26,20,0.43,4.382,12193,0.001,69.44,2.10862653968254,2.14759246825397,-0.0181440050416589
2020-04-27,7,0.46,4.227,10613,0.001,69.44,2.19248486507936,2.18238742063492,0.00462678823611746
2020-04-28,23,0.51,3.606,13616,0.001,69.44,2.2159086984127,2.18238742063492,0.015359911563285
2020-04-29,8,0.55,3.451,13731,0.001,69.44,2.22412273015873,2.18238742063492,0.0191236941384439
2020-04-30,14,0.59,3.219,19231,0.001,69.44,2.2819150952381,2.17134342063492,0.0509231628458122
2020-05-01,12,0.64,3.063,25227,0,69.44,2.22412798412698,2.07792949206349,0.0703577732651119
2020-05-02,21,0.7,2.908,22715,0.001,69.44,2.22412798412698,2.09597369047619,0.061143083156582
2020-05-03,23,0.77,2.714,21524,0.001,69.44,2.22412798412698,2.09589371428571,0.0611835748002003
2020-05-04,25,0.81,2.559,17107,0.002,69.44,2.25213930952381,2.10862653968254,0.0680598328535104
2020-05-05,28,0.83,2.404,14542,0.002,69.44,2.29356843650794,2.10862653968254,0.0877072792858049
2020-05-06,19,0.81,2.249,23900,0.001,69.44,2.33807532539683,2.10862653968254,0.108814330748597
2020-05-07,19,0.77,2.172,33893,0.001,69.44,2.38011844444444,2.19248486507936,0.0855803304978743
2020-05-08,5,0.75,1.978,34701,0.001,69.44,2.41331900793651,2.2159086984127,0.0890877452059367
2020-05-09,21,0.76,1.667,38206,0,69.44,2.41331900793651,2.22412273015873,0.0850655744902509
2020-05-10,9,0.77,1.9,32416,0,69.44,2.41331900793651,2.2819150952381,0.0575849263509525
2020-05-11,22,0.79,1.823,27247,0,69.44,2.4408280952381,2.22412798412698,0.0974314934471591
2020-05-12,10,0.8,1.939,22808,0.001,69.44,2.40806826190476,2.22412798412698,0.0827022001838524
2020-05-13,9,0.82,1.978,31098,0,69.44,2.41276634920635,2.22412798412698,0.0848145279523604
