"date","new_cases","reproduction_rate","hosp_patients_per_million","new_tests","positive_rate","stringency_index","average_adjusted_price","Shifted","two_week_return"
2020-04-14,64,0.41,8.298,4357,0.011,73.15,0.751342655172414,0.640820413793104,0.172469913567694
2020-04-15,25,0.4,7.794,4781,0.008,69.44,0.733423724137931,0.640820413793104,0.144507428839066
2020-04-16,22,0.4,7.445,8626,0.004,69.44,0.705763482758621,0.666981275862069,0.0581458705065236
2020-04-17,60,0.4,7.135,11527,0.004,69.44,0.756656137931034,0.704319862068965,0.0743075393448785
2020-04-18,46,0.39,6.864,14980,0.003,69.44,0.756656137931034,0.704641310344828,0.0738174541040641
2020-04-19,42,0.38,6.592,14589,0.003,69.44,0.756656137931034,0.750004413793103,0.00886891332317675
2020-04-20,13,0.36,6.476,10635,0.001,69.44,0.727029068965517,0.750004413793103,-0.0306336128228763
2020-04-21,22,0.36,6.243,8373,0.003,69.44,0.69963424137931,0.750004413793103,-0.0671598346455709
2020-04-22,7,0.35,5.894,12430,0.001,69.44,0.695758137931034,0.750004413793103,-0.0723279421619956
2020-04-23,10,0.36,5.351,14128,0.001,69.44,0.687677793103448,0.750004413793103,-0.0831016718614254
2020-04-24,15,0.37,5.002,15705,0.001,69.44,0.684996862068965,0.751342655172414,-0.0883029768730802
2020-04-25,17,0.39,4.459,11887,0.002,69.44,0.684996862068965,0.733423724137931,-0.0660284914097736
2020-04-26,20,0.43,4.382,12193,0.001,69.44,0.684996862068965,0.705763482758621,-0.0294243343513391
2020-04-27,7,0.46,4.227,10613,0.001,69.44,0.723923172413793,0.756656137931034,-0.0432600277409298
2020-04-28,23,0.51,3.606,13616,0.001,69.44,0.733480586206897,0.756656137931034,-0.0306289086446956
2020-04-29,8,0.55,3.451,13731,0.001,69.44,0.763038172413793,0.756656137931034,0.00843452416867903
2020-04-30,14,0.59,3.219,19231,0.001,69.44,0.813503517241379,0.727029068965517,0.118942215610314
2020-05-01,12,0.64,3.063,25227,0,69.44,0.78223775862069,0.69963424137931,0.118066715943646
2020-05-02,21,0.7,2.908,22715,0.001,69.44,0.78223775862069,0.695758137931034,0.124295521640348
2020-05-03,23,0.77,2.714,21524,0.001,69.44,0.78223775862069,0.687677793103448,0.137506207799001
2020-05-04,25,0.81,2.559,17107,0.002,69.44,0.774797827586207,0.684996862068965,0.131096900569743
2020-05-05,28,0.83,2.404,14542,0.002,69.44,0.801668862068965,0.684996862068965,0.170324867836042
2020-05-06,19,0.81,2.249,23900,0.001,69.44,0.814989275862069,0.684996862068965,0.189770816468377
