"date","new_cases","reproduction_rate","hosp_patients_per_million","new_tests","positive_rate","stringency_index","average_adjusted_price","Shifted","two_week_return"
2020-04-14,64,0.41,8.298,4357,0.011,73.15,3.2809744375,3.1482669375,0.0421525565126893
2020-04-15,25,0.4,7.794,4781,0.008,69.44,3.2644495625,3.1482669375,0.0369036766279606
2020-04-16,22,0.4,7.445,8626,0.004,69.44,3.226859625,3.20582275,0.00656208300973584
2020-04-17,60,0.4,7.135,11527,0.004,69.44,3.270869375,3.201870375,0.0215495919318719
2020-04-18,46,0.39,6.864,14980,0.003,69.44,3.270869375,3.2091638125,0.0192279254364177
2020-04-19,42,0.38,6.592,14589,0.003,69.44,3.270869375,3.1776821875,0.0293255215598869
2020-04-20,13,0.36,6.476,10635,0.001,69.44,3.2349669375,3.1776821875,0.0180272118543951
2020-04-21,22,0.36,6.243,8373,0.003,69.44,3.2051136875,3.1776821875,0.00863254988428576
2020-04-22,7,0.35,5.894,12430,0.001,69.44,3.1644528125,3.1776821875,-0.00416321526804665
2020-04-23,10,0.36,5.351,14128,0.001,69.44,3.189183625,3.1776821875,0.00361944235494765
2020-04-24,15,0.37,5.002,15705,0.001,69.44,3.227580875,3.2809744375,-0.0162736904895498
2020-04-25,17,0.39,4.459,11887,0.002,69.44,3.227580875,3.2644495625,-0.0112939982052486
2020-04-26,20,0.43,4.382,12193,0.001,69.44,3.227580875,3.226859625,0.000223514526139397
2020-04-27,7,0.46,4.227,10613,0.001,69.44,3.3087085625,3.270869375,0.0115685413147996
2020-04-28,23,0.51,3.606,13616,0.001,69.44,3.35967525,3.270869375,0.0271505415895736
2020-04-29,8,0.55,3.451,13731,0.001,69.44,3.4049770625,3.270869375,0.0410006246427986
2020-04-30,14,0.59,3.219,19231,0.001,69.44,3.355528875,3.2349669375,0.0372683677543768
2020-05-01,12,0.64,3.063,25227,0,69.44,3.2732419375,3.2051136875,0.0212561102795515
2020-05-02,21,0.7,2.908,22715,0.001,69.44,3.2732419375,3.1644528125,0.0343784949392415
2020-05-03,23,0.77,2.714,21524,0.001,69.44,3.2732419375,3.189183625,0.0263573134645077
2020-05-04,25,0.81,2.559,17107,0.002,69.44,3.33126425,3.227580875,0.032124175664537
2020-05-05,28,0.83,2.404,14542,0.002,69.44,3.3853205625,3.227580875,0.0488724198119435
2020-05-06,19,0.81,2.249,23900,0.001,69.44,3.4378208125,3.227580875,0.0651385497814985
2020-05-07,19,0.77,2.172,33893,0.001,69.44,3.429934375,3.3087085625,0.0366384074662664
2020-05-08,5,0.75,1.978,34701,0.001,69.44,3.42397675,3.35967525,0.0191392010284327
2020-05-09,21,0.76,1.667,38206,0,69.44,3.42397675,3.4049770625,0.00557997518081666
2020-05-10,9,0.77,1.9,32416,0,69.44,3.42397675,3.355528875,0.020398535536369
2020-05-11,22,0.79,1.823,27247,0,69.44,3.4402915625,3.2732419375,0.0510349152887817
2020-05-12,10,0.8,1.939,22808,0.001,69.44,3.4782093125,3.2732419375,0.0626190727461313
2020-05-13,9,0.82,1.978,31098,0,69.44,3.4991259375,3.2732419375,0.0690092588061252
2020-05-14,30,0.85,1.784,34274,0,69.44,3.5091541875,3.33126425,0.0534001280444803
2020-05-15,16,0.81,1.9,40517,0.001,65.74,3.5048366875,3.3853205625,0.0353042268209128
2020-05-16,9,0.76,1.939,31836,0.001,64.35,3.5048366875,3.4378208125,0.0194937079781263
2020-05-17,10,0.75,1.745,26474,0,64.35,3.5048366875,3.429934375,0.0218378267076904
2020-05-18,14,0.74,1.823,20742,0,67.13,3.51725325,3.42397675,0.0272421534404403
2020-05-19,4,0.72,1.667,24287,0,67.13,3.5364769375,3.42397675,0.0328565862779295
2020-05-20,9,0.74,1.59,25884,0,67.13,3.6682829375,3.42397675,0.0713515906613559
2020-05-21,14,0.76,1.512,25821,0,67.13,3.6632970625,3.4402915625,0.064821686170676
2020-05-22,4,0.77,1.357,32855,0,67.13,3.63345475,3.4782093125,0.0446337248716108
2020-05-23,15,0.8,1.28,21679,0.001,67.13,3.63345475,3.4991259375,0.0383892477433873
2020-05-24,0,0.82,1.202,32273,0,67.13,3.63345475,3.5091541875,0.0354218013396995
2020-05-25,12,0.89,1.163,19304,0,65.28,3.6360469375,3.5048366875,0.0374369083923258
2020-05-26,13,0.96,1.163,44465,0.001,65.28,3.6742643125,3.5048366875,0.0483410897872256
2020-05-27,11,0.99,1.125,49388,0,65.28,3.8525915,3.5048366875,0.0992214027376132
