"date","new_cases","reproduction_rate","hosp_patients_per_million","new_tests","positive_rate","stringency_index","average_adjusted_price","Shifted","two_week_return"
2020-04-14,64,0.41,8.298,4357,0.011,73.15,2.4632275625,2.2101575625,0.114503148686713
2020-04-15,25,0.4,7.794,4781,0.008,69.44,2.48448125,2.2101575625,0.124119516252815
2020-04-16,22,0.4,7.445,8626,0.004,69.44,2.4563356875,2.228911,0.102033992160297
2020-04-17,60,0.4,7.135,11527,0.004,69.44,2.578942625,2.26933575,0.13643061631581
2020-04-18,46,0.39,6.864,14980,0.003,69.44,2.578942625,2.275762375,0.13322140014728
2020-04-19,42,0.38,6.592,14589,0.003,69.44,2.578942625,2.403712625,0.0728997294341708
2020-04-20,13,0.36,6.476,10635,0.001,69.44,2.5174326875,2.403712625,0.0473101739855446
2020-04-21,22,0.36,6.243,8373,0.003,69.44,2.4535273125,2.403712625,0.0207240611801505
2020-04-22,7,0.35,5.894,12430,0.001,69.44,2.4443256875,2.403712625,0.0168959725374826
2020-04-23,10,0.36,5.351,14128,0.001,69.44,2.4429393125,2.403712625,0.0163192084993938
2020-04-24,15,0.37,5.002,15705,0.001,69.44,2.4267441875,2.4632275625,-0.0148112076835369
2020-04-25,17,0.39,4.459,11887,0.002,69.44,2.4267441875,2.48448125,-0.0232390815990259
2020-04-26,20,0.43,4.382,12193,0.001,69.44,2.4267441875,2.4563356875,-0.0120470097595321
2020-04-27,7,0.46,4.227,10613,0.001,69.44,2.4917656875,2.578942625,-0.0338033644699638
2020-04-28,23,0.51,3.606,13616,0.001,69.44,2.500733875,2.578942625,-0.0303258976147251
2020-04-29,8,0.55,3.451,13731,0.001,69.44,2.5428020625,2.578942625,-0.0140137132752228
2020-04-30,14,0.59,3.219,19231,0.001,69.44,2.63671625,2.5174326875,0.0473830196502524
2020-05-01,12,0.64,3.063,25227,0,69.44,2.52976425,2.4535273125,0.0310723818363852
2020-05-02,21,0.7,2.908,22715,0.001,69.44,2.52976425,2.4443256875,0.0349538373453762
2020-05-03,23,0.77,2.714,21524,0.001,69.44,2.52976425,2.4429393125,0.0355411765882743
2020-05-04,25,0.81,2.559,17107,0.002,69.44,2.5688469375,2.4267441875,0.0585569549241992
2020-05-05,28,0.83,2.404,14542,0.002,69.44,2.5993364375,2.4267441875,0.0711209079593189
2020-05-06,19,0.81,2.249,23900,0.001,69.44,2.55676875,2.4267441875,0.0535798388514733
2020-05-07,19,0.77,2.172,33893,0.001,69.44,2.5377730625,2.4917656875,0.018463764562935
2020-05-08,5,0.75,1.978,34701,0.001,69.44,2.550578125,2.500733875,0.0199318490057244
2020-05-09,21,0.76,1.667,38206,0,69.44,2.550578125,2.5428020625,0.00305806834699312
2020-05-10,9,0.77,1.9,32416,0,69.44,2.550578125,2.63671625,-0.0326687124562608
2020-05-11,22,0.79,1.823,27247,0,69.44,2.626583875,2.52976425,0.0382721927547202
2020-05-12,10,0.8,1.939,22808,0.001,69.44,2.585983875,2.52976425,0.0222232664565484
2020-05-13,9,0.82,1.978,31098,0,69.44,2.6057154375,2.52976425,0.0300230298139441
2020-05-14,30,0.85,1.784,34274,0,69.44,2.552327625,2.5688469375,-0.00643063323814725
2020-05-15,16,0.81,1.9,40517,0.001,65.74,2.5588240625,2.5993364375,-0.0155856604076093
2020-05-16,9,0.76,1.939,31836,0.001,64.35,2.5588240625,2.55676875,0.000803871097063439
2020-05-17,10,0.75,1.745,26474,0,64.35,2.5588240625,2.5377730625,0.00829506795192406
2020-05-18,14,0.74,1.823,20742,0,67.13,2.559177375,2.550578125,0.00337149053217104
2020-05-19,4,0.72,1.667,24287,0,67.13,2.611905375,2.550578125,0.0240444507066413
2020-05-20,9,0.74,1.59,25884,0,67.13,2.6797991875,2.550578125,0.0506634402739575
2020-05-21,14,0.76,1.512,25821,0,67.13,2.6895754375,2.626583875,0.0239823152420745
2020-05-22,4,0.77,1.357,32855,0,67.13,2.696174125,2.585983875,0.0426105711892732
2020-05-23,15,0.8,1.28,21679,0.001,67.13,2.696174125,2.6057154375,0.0347154897262263
2020-05-24,0,0.82,1.202,32273,0,67.13,2.696174125,2.552327625,0.0563589480406147
2020-05-25,12,0.89,1.163,19304,0,65.28,2.7863929375,2.5588240625,0.0889349441155649
2020-05-26,13,0.96,1.163,44465,0.001,65.28,2.82177225,2.5588240625,0.102761339223572
2020-05-27,11,0.99,1.125,49388,0,65.28,2.81103875,2.5588240625,0.0985666389480422
2020-05-28,15,1.02,0.892,30265,0.001,65.28,2.8243940625,2.559177375,0.103633569947452
2020-05-29,19,1.03,0.853,30348,0.001,63.43,2.7893804375,2.611905375,0.0679485038771742
2020-05-30,8,0.97,0.776,33326,0,63.43,2.7893804375,2.6797991875,0.040891590127777
2020-05-31,10,0.97,0.776,25829,0,63.43,2.7893804375,2.6895754375,0.037108087249923
2020-06-01,19,0.96,1.008,17824,0,62.04,2.80236675,2.696174125,0.0393864120330136
2020-06-02,8,0.9,0.969,18276,0.001,62.04,2.846439375,2.696174125,0.0557327691140868
2020-06-03,11,0.86,0.853,22461,0,62.04,2.9067500625,2.696174125,0.0781017574300769
2020-06-04,7,0.82,0.814,33419,0,62.04,2.931841125,2.7863929375,0.0521994531146417
2020-06-05,5,0.79,0.814,31817,0,62.04,2.9300135625,2.82177225,0.0383593369379829
2020-06-06,7,0.77,0.698,11585,0,62.04,2.9300135625,2.81103875,0.0423241453003806
2020-06-07,6,0.82,0.737,26887,0,62.04,2.9300135625,2.8243940625,0.0373954546224019
2020-06-08,2,0.86,0.698,16225,0,62.04,2.9300135625,2.7893804375,0.0504173339388741
2020-06-09,7,0.96,0.776,17170,0,60.19,3.0169459375,2.7893804375,0.0815828120612896
2020-06-10,11,1.06,0.698,29455,0,60.19,3.0048213125,2.7893804375,0.0772361030799695
2020-06-11,4,1.15,0.659,31472,0,60.19,2.907598375,2.80236675,0.0375509825757104
2020-06-12,5,1.28,0.62,34215,0,50.46,2.8448029375,2.846439375,-0.000574906851827891
2020-06-13,26,1.43,0.62,37226,0,50.46,2.8448029375,2.9067500625,-0.0213114728366846
2020-06-14,15,1.48,0.659,29800,0.001,50.46,2.8448029375,2.931841125,-0.0296872114787598
2020-06-15,12,1.51,0.659,15970,0.001,50.46,2.796951875,2.9300135625,-0.0454133350108
2020-06-16,23,1.55,0.62,18448,0.001,50.46,2.8743216875,2.9300135625,-0.0190073778882039
2020-06-17,21,1.54,0.543,35160,0.001,50.46,2.917629125,2.9300135625,-0.0042267509128638
2020-06-18,18,1.54,0.582,41495,0.001,50.46,2.8867673125,2.9300135625,-0.0147597439662023
2020-06-19,2,1.55,0.659,42708,0,50.46,2.9321571875,3.0169459375,-0.0281041661854439
