"date","new_cases","reproduction_rate","hosp_patients_per_million","new_tests","positive_rate","stringency_index","average_adjusted_price","Shifted","two_week_return"
2020-04-14,64,0.41,8.298,4357,0.011,73.15,2.5914635,2.49076285,0.0404296418665471
2020-04-15,25,0.4,7.794,4781,0.008,69.44,2.6011691,2.49076285,0.0443262793966917
2020-04-16,22,0.4,7.445,8626,0.004,69.44,2.5481173,2.5164194,0.0125964296730506
2020-04-17,60,0.4,7.135,11527,0.004,69.44,2.5781983,2.5130443,0.025926323702292
2020-04-18,46,0.39,6.864,14980,0.003,69.44,2.5781983,2.51083105,0.0268306583192843
2020-04-19,42,0.38,6.592,14589,0.003,69.44,2.5781983,2.54680395,0.0123269598352868
2020-04-20,13,0.36,6.476,10635,0.001,69.44,2.5633121,2.54680395,0.00648190843272406
2020-04-21,22,0.36,6.243,8373,0.003,69.44,2.5495845,2.54680395,0.00109178015056863
2020-04-22,7,0.35,5.894,12430,0.001,69.44,2.55616805,2.54680395,0.00367680441205535
2020-04-23,10,0.36,5.351,14128,0.001,69.44,2.533893,2.54680395,-0.00506947148405365
2020-04-24,15,0.37,5.002,15705,0.001,69.44,2.54018875,2.5914635,-0.0197860205246959
2020-04-25,17,0.39,4.459,11887,0.002,69.44,2.54018875,2.6011691,-0.023443439336566
2020-04-26,20,0.43,4.382,12193,0.001,69.44,2.54018875,2.5481173,-0.00311153258132972
2020-04-27,7,0.46,4.227,10613,0.001,69.44,2.58034045,2.5781983,0.000830870922535348
2020-04-28,23,0.51,3.606,13616,0.001,69.44,2.56046965,2.5781983,-0.00687637176705919
2020-04-29,8,0.55,3.451,13731,0.001,69.44,2.5597097,2.5781983,-0.00717113187143129
2020-04-30,14,0.59,3.219,19231,0.001,69.44,2.56346705,2.5633121,6.04491353197939e-05
2020-05-01,12,0.64,3.063,25227,0,69.44,2.50142265,2.5495845,-0.0188900779715283
2020-05-02,21,0.7,2.908,22715,0.001,69.44,2.50142265,2.55616805,-0.0214169799986352
2020-05-03,23,0.77,2.714,21524,0.001,69.44,2.50142265,2.533893,-0.0128144124475659
2020-05-04,25,0.81,2.559,17107,0.002,69.44,2.4935207,2.54018875,-0.0183718827980795
2020-05-05,28,0.83,2.404,14542,0.002,69.44,2.50874215,2.54018875,-0.0123796312380331
2020-05-06,19,0.81,2.249,23900,0.001,69.44,2.53427595,2.54018875,-0.0023277010419009
2020-05-07,19,0.77,2.172,33893,0.001,69.44,2.5172229,2.58034045,-0.0244609388656446
2020-05-08,5,0.75,1.978,34701,0.001,69.44,2.54571655,2.56046965,-0.00576187263145262
2020-05-09,21,0.76,1.667,38206,0,69.44,2.54571655,2.5597097,-0.00546669413332306
